,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1850,213.9817
1,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1851,213.87378
2,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1852,213.59668
3,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1853,214.27722
4,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1854,214.99174
5,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1855,214.04976
6,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1856,214.35411
7,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1857,213.81671
8,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1858,214.8214
9,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1859,214.43797
10,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1860,214.68794
11,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1861,213.42236
12,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1862,213.98763
13,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1863,213.93697
14,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1864,214.48889
15,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1865,213.72737
16,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1866,213.97633
17,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1867,214.14465
18,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1868,213.95396
19,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1869,214.01445
20,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1870,214.0931
21,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1871,213.89384
22,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1872,213.95436
23,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1873,213.7619
24,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1874,213.81416
25,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1875,214.3774
26,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1876,214.00354
27,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1877,213.95384
28,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1878,214.1256
29,rsds,historical,W m-2,mon,r6i1p1f1,INM-CM5-0,1879,214.07332
