,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1850,202.3759
1,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1851,202.63368
2,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1852,203.00671
3,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1853,203.00562
4,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1854,202.1632
5,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1855,203.61531
6,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1856,201.46434
7,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1857,202.84192
8,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1858,202.78523
9,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1859,202.5019
10,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1860,203.35028
11,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1861,202.12392
12,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1862,201.58861
13,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1863,203.33461
14,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1864,202.55571
15,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1865,202.58899
16,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1866,202.76204
17,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1867,203.0959
18,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1868,201.2134
19,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1869,202.24889
20,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1870,203.46739
21,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1871,203.00941
22,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1872,201.55623
23,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1873,202.8949
24,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1874,202.97462
25,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1875,203.4853
26,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1876,203.03096
27,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1877,202.73982
28,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1878,202.37018
29,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1879,202.67177
30,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1880,203.83055
31,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1881,202.28886
32,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1882,203.48805
33,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1883,200.2705
34,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1884,200.78015
35,rsds,historical,W m-2,mon,r23i1p1f1,IPSL-CM6A-LR,1885,202.5294
