,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2015,187.63141
1,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2016,187.50923
2,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2017,186.1555
3,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2018,187.38136
4,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2019,188.14336
5,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2020,188.31264
6,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2021,188.14781
7,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2022,188.62328
8,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2023,187.59798
9,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2024,186.28699
10,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2025,187.64061
11,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2026,188.6051
12,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2027,188.27509
13,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2028,188.40057
14,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2029,186.94667
15,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2030,186.13165
16,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2031,186.89624
17,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2032,187.92497
18,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2033,188.37865
19,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2034,188.02617
20,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2035,187.3011
21,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2036,186.74083
22,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2037,187.41693
23,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2038,188.20264
24,rsds,ssp245,W m-2,mon,r32i1p1f1,MIROC6,2039,188.33788
