,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1850,204.953
1,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1851,204.93727
2,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1852,205.05363
3,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1853,205.74373
4,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1854,205.22841
5,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1855,205.57463
6,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1856,205.2487
7,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1857,205.51506
8,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1858,205.56267
9,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1859,205.44252
10,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1860,205.8116
11,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1861,205.10608
12,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1862,204.73969
13,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1863,205.17363
14,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1864,205.40562
15,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1865,205.70894
16,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1866,205.01703
17,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1867,205.02356
18,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1868,205.2744
19,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1869,205.24684
20,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1870,205.13385
21,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1871,205.21027
22,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1872,205.32988
23,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1873,204.93605
24,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1874,205.92656
25,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1875,205.30928
26,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1876,204.88976
27,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1877,205.3604
28,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1878,204.868
29,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1879,205.45073
30,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1880,205.44505
31,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1881,204.39378
32,rsds,historical,W m-2,mon,r16i1p1f2,UKESM1-0-LL,1882,205.72095
