,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1850,205.34448
1,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1851,205.59056
2,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1852,205.4167
3,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1853,205.09364
4,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1854,205.05278
5,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1855,204.80727
6,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1856,205.34747
7,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1857,205.67064
8,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1858,205.02538
9,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1859,204.88469
10,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1860,205.33528
11,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1861,204.506
12,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1862,204.85075
13,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1863,205.51448
14,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1864,205.36421
15,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1865,204.79993
16,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1866,205.23256
17,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1867,205.72423
18,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1868,205.75356
19,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1869,204.61714
20,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1870,205.55318
21,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1871,205.68304
22,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1872,205.75916
23,rsds,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1873,205.60628
