,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2015,15.327888
1,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2016,15.449959
2,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2017,15.324626
3,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2018,15.359314
4,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2019,15.322766
5,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2020,15.268978
6,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2021,15.261804
7,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2022,15.227376
8,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2023,15.335284
9,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2024,15.434773
10,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2025,15.3997345
11,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2026,15.292272
12,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2027,15.289951
13,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2028,15.364151
14,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2029,15.399654
15,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2030,15.345272
16,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2031,15.289195
17,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2032,15.248078
18,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2033,15.300286
19,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2034,15.367272
20,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2035,15.315194
21,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2036,15.194069
22,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2037,15.227046
23,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2038,15.270279
24,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2039,15.364121
25,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2040,15.265479
26,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2041,15.181625
27,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2042,15.17834
28,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2043,15.2116165
29,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2044,15.210401
30,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2045,15.191368
31,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2046,15.140835
32,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2047,15.143498
33,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2048,15.10768
34,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2049,15.141235
35,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2050,15.210578
36,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2051,15.1043215
37,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2052,15.073823
38,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2053,15.155984
39,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2054,15.222936
40,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2055,15.083237
41,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2056,14.945966
42,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2057,15.06615
43,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2058,15.066657
44,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2059,15.125566
45,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2060,15.0301695
46,rsus,ssp585,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2061,15.0523615
