,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1850,11.743614
1,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1851,11.7967
2,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1852,11.715245
3,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1853,11.724198
4,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1854,11.707276
5,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1855,11.758319
6,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1856,11.789706
7,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1857,11.768914
8,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1858,11.820926
9,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1859,11.841821
10,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1860,11.76928
11,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1861,11.629306
12,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1862,11.77084
13,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1863,11.758914
14,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1864,11.743415
15,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1865,11.761514
16,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1866,11.755421
17,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1867,11.8478
18,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1868,11.806352
19,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1869,11.833687
20,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1870,11.802569
21,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1871,11.755425
22,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1872,11.747402
23,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1873,11.7763405
24,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1874,11.902099
25,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1875,11.810323
26,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1876,11.726849
27,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1877,11.686619
28,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1878,11.803031
29,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1879,11.796635
30,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1880,11.732213
31,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1881,11.653941
32,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1882,11.748967
33,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1883,11.64463
34,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1884,11.653291
35,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1885,11.724446
36,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1886,11.741324
37,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1887,11.717074
38,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1888,11.783867
39,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1889,11.644727
40,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1890,11.741714
41,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1891,11.656989
42,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1892,11.683938
43,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1893,11.742683
44,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1894,11.669562
45,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1895,11.673766
46,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1896,11.718402
47,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1897,11.712475
48,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1898,11.649257
49,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1899,11.702252
50,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1900,11.719844
51,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1901,11.707322
52,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1902,11.716657
53,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1903,11.6572075
54,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1904,11.684939
55,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1905,11.7912
56,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1906,11.815068
57,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1907,11.820905
58,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1908,11.733501
59,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1909,11.74367
60,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1910,11.70184
61,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1911,11.689326
62,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1912,11.602928
63,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1913,11.610378
64,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1914,11.651581
65,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1915,11.706557
66,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1916,11.630623
67,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1917,11.563518
68,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1918,11.650422
69,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1919,11.60609
70,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1920,11.636304
71,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1921,11.613598
72,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1922,11.65739
73,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1923,11.668373
74,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1924,11.69794
75,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1925,11.651943
76,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1926,11.528484
77,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1927,11.562926
78,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1928,11.668389
79,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1929,11.617631
80,rsus,historical,W m-2,mon,r9i1p1f1,CESM2,1930,11.739793
