,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1850,12.800483
1,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1851,12.918532
2,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1852,12.983043
3,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1853,12.934692
4,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1854,12.917275
5,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1855,13.026333
6,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1856,13.012478
7,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1857,13.019444
8,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1858,13.054185
9,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1859,12.978619
10,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1860,13.004981
11,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1861,12.918405
12,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1862,12.983594
13,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1863,12.979062
14,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1864,12.981537
15,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1865,12.909016
16,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1866,13.028985
17,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1867,12.987081
18,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1868,12.996383
19,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1869,12.93418
20,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1870,12.936111
21,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1871,12.855537
22,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1872,12.948945
23,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1873,12.807091
24,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1874,12.795983
25,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1875,12.803912
26,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1876,12.816852
27,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1877,12.840079
28,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1878,12.748193
29,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1879,12.823852
30,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1880,12.844823
31,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1881,12.664475
32,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1882,12.771797
33,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1883,12.807042
34,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1884,12.724235
35,rsus,historical,W m-2,mon,r1i1p1f1,E3SM-1-1-ECA,1885,12.896586
