,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1850,13.9734955
1,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1851,14.005855
2,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1852,13.850583
3,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1853,13.933393
4,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1854,13.890626
5,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1855,13.935363
6,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1856,13.926353
7,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1857,13.952432
8,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1858,13.936841
9,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1859,13.940175
10,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1860,13.916771
11,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1861,13.870556
12,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1862,13.821079
13,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1863,13.902904
14,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1864,13.869821
15,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1865,13.987111
16,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1866,14.002575
17,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1867,13.962152
18,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1868,14.032439
19,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1869,13.900523
20,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1870,13.938977
21,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1871,13.874546
22,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1872,13.780052
23,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1873,13.714523
24,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1874,13.815988
25,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1875,13.835751
26,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1876,13.789215
27,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1877,13.830794
28,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1878,13.92514
29,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1879,13.987624
30,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1880,13.938798
31,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1881,13.877139
32,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1882,14.040668
33,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1883,13.961689
34,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1884,13.741721
35,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1885,13.749505
36,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1886,13.795701
37,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1887,13.787206
38,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1888,14.049122
39,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1889,13.918992
40,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1890,13.761342
41,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1891,13.800239
42,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1892,13.762488
43,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1893,13.803535
44,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1894,13.872729
45,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1895,13.883458
46,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1896,13.864583
47,rsus,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1897,13.927876
