,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1850,13.514525
1,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1851,13.522061
2,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1852,13.48682
3,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1853,13.486198
4,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1854,13.438427
5,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1855,13.490073
6,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1856,13.396052
7,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1857,13.470436
8,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1858,13.557872
9,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1859,13.566951
10,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1860,13.475193
11,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1861,13.383801
12,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1862,13.435032
13,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1863,13.447764
14,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1864,13.484399
15,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1865,13.383466
16,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1866,13.379436
17,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1867,13.418603
18,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1868,13.415311
19,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1869,13.361965
20,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1870,13.375244
21,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1871,13.357629
22,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1872,13.424609
23,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1873,13.364033
24,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1874,13.400994
25,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1875,13.48569
26,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1876,13.51068
27,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1877,13.521954
28,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1878,13.52813
29,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1879,13.457905
30,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1880,13.497371
31,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1881,13.480916
32,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1882,13.4414
33,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1883,13.28073
34,rsus,historical,W m-2,mon,r18i1p1f2,UKESM1-0-LL,1884,13.158661
