,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1850,8.683551e-09,148661430000000.0
1,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1851,8.2091685e-09,148661430000000.0
2,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1852,8.418085e-09,148661430000000.0
3,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1853,8.88894e-09,148661430000000.0
4,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1854,8.851877e-09,148661430000000.0
5,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1855,8.7776195e-09,148661430000000.0
6,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1856,8.961274e-09,148661430000000.0
7,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1857,8.709764e-09,148661430000000.0
8,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1858,8.82655e-09,148661430000000.0
9,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1859,8.6871905e-09,148661430000000.0
10,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1860,8.444267e-09,148661430000000.0
11,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1861,8.73471e-09,148661430000000.0
12,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1862,9.02497e-09,148661430000000.0
13,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1863,8.609106e-09,148661430000000.0
14,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1864,8.769319e-09,148661430000000.0
15,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1865,8.770944e-09,148661430000000.0
16,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1866,8.700049e-09,148661430000000.0
17,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1867,8.724649e-09,148661430000000.0
18,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1868,8.703474e-09,148661430000000.0
19,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1869,8.851342e-09,148661430000000.0
20,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1870,9.1068655e-09,148661430000000.0
21,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1871,8.690846e-09,148661430000000.0
22,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1872,8.484693e-09,148661430000000.0
23,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1873,8.620765e-09,148661430000000.0
24,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1874,8.682466e-09,148661430000000.0
25,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1875,8.765925e-09,148661430000000.0
26,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1876,8.862108e-09,148661430000000.0
27,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1877,8.685666e-09,148661430000000.0
28,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1878,8.511344e-09,148661430000000.0
29,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1879,8.756104e-09,148661430000000.0
30,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1880,8.602764e-09,148661430000000.0
31,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1881,9.033285e-09,148661430000000.0
32,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1882,9.356293e-09,148661430000000.0
33,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1883,9.234589e-09,148661430000000.0
34,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1884,9.561493e-09,148661430000000.0
35,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1885,9.27686e-09,148661430000000.0
36,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1886,9.180316e-09,148661430000000.0
37,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1887,9.192857e-09,148661430000000.0
38,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1888,9.268259e-09,148661430000000.0
39,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1889,9.0128e-09,148661430000000.0
40,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1890,9.202189e-09,148661430000000.0
41,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1891,9.22054e-09,148661430000000.0
42,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1892,9.251015e-09,148661430000000.0
43,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1893,9.092805e-09,148661430000000.0
44,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1894,9.185682e-09,148661430000000.0
45,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1895,9.041213e-09,148661430000000.0
46,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1896,9.216669e-09,148661430000000.0
47,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1897,9.387574e-09,148661430000000.0
