,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2015,2.3872063e-08,149309120000000.0
1,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2016,2.388321e-08,149309120000000.0
2,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2017,2.4387104e-08,149309120000000.0
3,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2018,2.4702048e-08,149309120000000.0
4,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2019,2.478081e-08,149309120000000.0
5,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2020,2.458057e-08,149309120000000.0
6,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2021,2.4769635e-08,149309120000000.0
7,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2022,2.4930522e-08,149309120000000.0
8,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2023,2.5260968e-08,149309120000000.0
9,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2024,2.5363322e-08,149309120000000.0
10,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2025,2.4930777e-08,149309120000000.0
11,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2026,2.4987742e-08,149309120000000.0
12,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2027,2.5638196e-08,149309120000000.0
13,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2028,2.558698e-08,149309120000000.0
14,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2029,2.5552234e-08,149309120000000.0
15,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2030,2.6092673e-08,149309120000000.0
16,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2031,2.6042196e-08,149309120000000.0
17,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2032,2.6092197e-08,149309120000000.0
18,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2033,2.614781e-08,149309120000000.0
19,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2034,2.6117549e-08,149309120000000.0
20,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2035,2.622823e-08,149309120000000.0
21,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2036,2.6597425e-08,149309120000000.0
22,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2037,2.609661e-08,149309120000000.0
23,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2038,2.6560949e-08,149309120000000.0
24,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2039,2.7138078e-08,149309120000000.0
25,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2040,2.7334416e-08,149309120000000.0
26,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2041,2.7292764e-08,149309120000000.0
27,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2042,2.7041459e-08,149309120000000.0
28,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2043,2.707497e-08,149309120000000.0
29,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2044,2.7208975e-08,149309120000000.0
30,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2045,2.6877673e-08,149309120000000.0
31,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2046,2.7208728e-08,149309120000000.0
32,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2047,2.7363443e-08,149309120000000.0
33,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2048,2.7416606e-08,149309120000000.0
34,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2049,2.8104047e-08,149309120000000.0
35,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2050,2.8078802e-08,149309120000000.0
36,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2051,2.7424731e-08,149309120000000.0
37,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2052,2.8031463e-08,149309120000000.0
38,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2053,2.7531994e-08,149309120000000.0
39,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2054,2.8375675e-08,149309120000000.0
40,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2055,2.8341665e-08,149309120000000.0
41,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2056,2.861215e-08,149309120000000.0
42,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2057,2.8732515e-08,149309120000000.0
43,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2058,2.8486383e-08,149309120000000.0
44,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2059,2.9057416e-08,149309120000000.0
45,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2060,2.8372925e-08,149309120000000.0
46,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2061,2.8930065e-08,149309120000000.0
47,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2062,2.8661574e-08,149309120000000.0
48,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2063,2.8424521e-08,149309120000000.0
49,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2064,2.8633073e-08,149309120000000.0
50,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2065,2.8933053e-08,149309120000000.0
51,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2066,2.9464621e-08,149309120000000.0
52,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2067,2.93832e-08,149309120000000.0
53,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2068,2.914674e-08,149309120000000.0
54,npp,ssp245,kg m-2 s-1,mon,r1i1p1f2,CNRM-CM6-1-HR,2069,2.9420756e-08,149309120000000.0
