,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1850,1.9086388e-08,148579500000000.0
1,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1851,1.9379138e-08,148579500000000.0
2,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1852,1.943254e-08,148579500000000.0
3,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1853,1.9785423e-08,148579500000000.0
4,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1854,1.9998035e-08,148579500000000.0
5,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1855,1.9964745e-08,148579500000000.0
6,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1856,2.0204345e-08,148579500000000.0
7,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1857,1.9644283e-08,148579500000000.0
8,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1858,1.9268128e-08,148579500000000.0
9,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1859,1.997851e-08,148579500000000.0
10,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1860,1.9734722e-08,148579500000000.0
11,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1861,1.9334216e-08,148579500000000.0
12,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1862,1.947648e-08,148579500000000.0
13,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1863,1.9928416e-08,148579500000000.0
14,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1864,1.9990674e-08,148579500000000.0
15,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1865,1.9144585e-08,148579500000000.0
16,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1866,1.9560355e-08,148579500000000.0
17,npp,historical,kg m-2 s-1,mon,r27i1p1f2,CNRM-CM6-1,1867,1.9730464e-08,148579500000000.0
