,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1850,7.0691364e-09,148979250000000.0
1,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1851,7.007518e-09,148979250000000.0
2,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1852,6.8398602e-09,148979250000000.0
3,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1853,6.9503585e-09,148979250000000.0
4,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1854,7.1144677e-09,148979250000000.0
5,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1855,7.1055024e-09,148979250000000.0
6,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1856,7.021278e-09,148979250000000.0
7,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1857,7.0465265e-09,148979250000000.0
8,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1858,6.9849952e-09,148979250000000.0
9,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1859,7.191433e-09,148979250000000.0
10,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1860,7.154996e-09,148979250000000.0
11,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1861,7.1931723e-09,148979250000000.0
12,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1862,7.067642e-09,148979250000000.0
13,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1863,7.1924244e-09,148979250000000.0
14,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1864,7.3175292e-09,148979250000000.0
15,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1865,7.088478e-09,148979250000000.0
16,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1866,7.084345e-09,148979250000000.0
17,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1867,7.2546302e-09,148979250000000.0
18,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1868,7.195588e-09,148979250000000.0
19,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1869,6.919396e-09,148979250000000.0
20,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1870,7.1180506e-09,148979250000000.0
21,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1871,7.346354e-09,148979250000000.0
22,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1872,7.2798696e-09,148979250000000.0
23,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1873,7.1585835e-09,148979250000000.0
24,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1874,7.1059265e-09,148979250000000.0
25,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1875,6.997278e-09,148979250000000.0
26,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1876,7.219563e-09,148979250000000.0
27,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1877,7.0887776e-09,148979250000000.0
28,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1878,7.0289397e-09,148979250000000.0
29,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1879,7.1182416e-09,148979250000000.0
30,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1880,7.3878925e-09,148979250000000.0
31,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1881,7.303431e-09,148979250000000.0
32,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1882,7.4187856e-09,148979250000000.0
33,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1883,7.428921e-09,148979250000000.0
34,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1884,7.3700512e-09,148979250000000.0
35,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1885,7.1962787e-09,148979250000000.0
36,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1886,7.308286e-09,148979250000000.0
37,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1887,7.3539206e-09,148979250000000.0
38,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1888,7.3882487e-09,148979250000000.0
39,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1889,7.3907884e-09,148979250000000.0
40,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1890,7.465345e-09,148979250000000.0
41,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1891,7.2099606e-09,148979250000000.0
42,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1892,7.291188e-09,148979250000000.0
43,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1893,7.266209e-09,148979250000000.0
44,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1894,7.362367e-09,148979250000000.0
45,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1895,7.4235262e-09,148979250000000.0
46,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1896,7.2305544e-09,148979250000000.0
47,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1897,7.23009e-09,148979250000000.0
48,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1898,7.2375177e-09,148979250000000.0
49,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1899,7.5134565e-09,148979250000000.0
50,npp,historical,kg m-2 s-1,mon,r1i1p5f1,GISS-E2-1-G,1900,7.601307e-09,148979250000000.0
