,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1850,1.1530489e-08,155920870000000.0
1,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1851,1.1324253e-08,155920870000000.0
2,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1852,1.1474057e-08,155920870000000.0
3,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1853,1.16885595e-08,155920870000000.0
4,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1854,1.1557476e-08,155920870000000.0
5,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1855,1.1506992e-08,155920870000000.0
6,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1856,1.1541709e-08,155920870000000.0
7,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1857,1.1448144e-08,155920870000000.0
8,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1858,1.1445361e-08,155920870000000.0
9,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1859,1.1437055e-08,155920870000000.0
10,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1860,1.1304411e-08,155920870000000.0
11,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1861,1.1556202e-08,155920870000000.0
12,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1862,1.166456e-08,155920870000000.0
13,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1863,1.1604623e-08,155920870000000.0
14,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1864,1.1570806e-08,155920870000000.0
15,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1865,1.1555805e-08,155920870000000.0
16,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1866,1.1547971e-08,155920870000000.0
17,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1867,1.1473386e-08,155920870000000.0
18,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1868,1.1651829e-08,155920870000000.0
19,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1869,1.1729394e-08,155920870000000.0
20,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1870,1.1753933e-08,155920870000000.0
21,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1871,1.1775502e-08,155920870000000.0
22,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1872,1.14231895e-08,155920870000000.0
23,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1873,1.1667049e-08,155920870000000.0
24,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1874,1.1551889e-08,155920870000000.0
25,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1875,1.1646757e-08,155920870000000.0
26,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1876,1.1763489e-08,155920870000000.0
27,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1877,1.1801496e-08,155920870000000.0
28,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1878,1.1688123e-08,155920870000000.0
29,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1879,1.169544e-08,155920870000000.0
30,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1880,1.1545169e-08,155920870000000.0
31,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1881,1.1695438e-08,155920870000000.0
32,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1882,1.1790103e-08,155920870000000.0
33,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1883,1.1752804e-08,155920870000000.0
34,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1884,1.1659935e-08,155920870000000.0
35,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1885,1.1648481e-08,155920870000000.0
36,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1886,1.1843075e-08,155920870000000.0
37,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1887,1.1816579e-08,155920870000000.0
38,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1888,1.1822529e-08,155920870000000.0
39,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1889,1.189236e-08,155920870000000.0
40,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1890,1.1646375e-08,155920870000000.0
41,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1891,1.16484005e-08,155920870000000.0
42,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1892,1.1770058e-08,155920870000000.0
43,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1893,1.1737292e-08,155920870000000.0
44,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1894,1.1599496e-08,155920870000000.0
45,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1895,1.1716718e-08,155920870000000.0
46,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1896,1.1607515e-08,155920870000000.0
47,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1897,1.1812389e-08,155920870000000.0
48,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1898,1.2065548e-08,155920870000000.0
49,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1899,1.1788291e-08,155920870000000.0
50,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1900,1.1955613e-08,155920870000000.0
51,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1901,1.1742117e-08,155920870000000.0
52,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1902,1.1755227e-08,155920870000000.0
53,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1903,1.1798201e-08,155920870000000.0
54,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1904,1.1694522e-08,155920870000000.0
55,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1905,1.17527605e-08,155920870000000.0
56,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1906,1.18573515e-08,155920870000000.0
57,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1907,1.1657977e-08,155920870000000.0
58,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1908,1.17892895e-08,155920870000000.0
59,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1909,1.1808436e-08,155920870000000.0
60,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1910,1.1927622e-08,155920870000000.0
61,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1911,1.1821421e-08,155920870000000.0
62,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1912,1.1677191e-08,155920870000000.0
63,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1913,1.1849392e-08,155920870000000.0
64,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1914,1.1649964e-08,155920870000000.0
65,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1915,1.1961963e-08,155920870000000.0
66,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1916,1.1715229e-08,155920870000000.0
67,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1917,1.1726265e-08,155920870000000.0
68,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1918,1.1715206e-08,155920870000000.0
69,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1919,1.1833656e-08,155920870000000.0
70,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1920,1.1668763e-08,155920870000000.0
71,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1921,1.172019e-08,155920870000000.0
72,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1922,1.19117045e-08,155920870000000.0
73,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1923,1.1963686e-08,155920870000000.0
74,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1924,1.1679421e-08,155920870000000.0
75,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1925,1.1727901e-08,155920870000000.0
76,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1926,1.1897581e-08,155920870000000.0
77,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1927,1.2028379e-08,155920870000000.0
78,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1928,1.1906465e-08,155920870000000.0
79,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1929,1.1940137e-08,155920870000000.0
80,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1930,1.1842521e-08,155920870000000.0
81,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1931,1.20721815e-08,155920870000000.0
82,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1932,1.1765878e-08,155920870000000.0
83,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1933,1.1876854e-08,155920870000000.0
84,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1934,1.1905525e-08,155920870000000.0
85,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1935,1.1932731e-08,155920870000000.0
86,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1936,1.187345e-08,155920870000000.0
87,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1937,1.1910848e-08,155920870000000.0
88,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1938,1.178817e-08,155920870000000.0
89,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1939,1.1774577e-08,155920870000000.0
90,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1940,1.1945221e-08,155920870000000.0
91,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1941,1.1894591e-08,155920870000000.0
92,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1942,1.2143193e-08,155920870000000.0
93,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1943,1.1749847e-08,155920870000000.0
94,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1944,1.1804428e-08,155920870000000.0
95,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1945,1.2010568e-08,155920870000000.0
96,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1946,1.1897836e-08,155920870000000.0
97,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1947,1.1882983e-08,155920870000000.0
98,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1948,1.1833535e-08,155920870000000.0
99,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1949,1.2051757e-08,155920870000000.0
100,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1950,1.19095604e-08,155920870000000.0
101,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1951,1.174999e-08,155920870000000.0
102,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1952,1.1900878e-08,155920870000000.0
103,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1953,1.1965916e-08,155920870000000.0
104,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1954,1.189342e-08,155920870000000.0
105,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1955,1.201735e-08,155920870000000.0
106,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1956,1.1901329e-08,155920870000000.0
107,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1957,1.2086616e-08,155920870000000.0
108,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1958,1.20895995e-08,155920870000000.0
109,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1959,1.1744923e-08,155920870000000.0
110,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1960,1.1864366e-08,155920870000000.0
111,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1961,1.1863701e-08,155920870000000.0
112,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1962,1.192526e-08,155920870000000.0
113,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1963,1.22087345e-08,155920870000000.0
114,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1964,1.2004164e-08,155920870000000.0
115,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1965,1.2257236e-08,155920870000000.0
116,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1966,1.2187171e-08,155920870000000.0
117,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1967,1.2222583e-08,155920870000000.0
118,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1968,1.2103077e-08,155920870000000.0
119,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1969,1.2353912e-08,155920870000000.0
120,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1970,1.22754535e-08,155920870000000.0
121,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1971,1.21269865e-08,155920870000000.0
122,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1972,1.2266377e-08,155920870000000.0
123,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1973,1.2357696e-08,155920870000000.0
124,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1974,1.2466457e-08,155920870000000.0
125,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1975,1.2594749e-08,155920870000000.0
126,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1976,1.228288e-08,155920870000000.0
127,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1977,1.244011e-08,155920870000000.0
128,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1978,1.248416e-08,155920870000000.0
129,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1979,1.264985e-08,155920870000000.0
130,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1980,1.2489639e-08,155920870000000.0
131,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1981,1.26337945e-08,155920870000000.0
132,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1982,1.2531111e-08,155920870000000.0
133,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1983,1.2972968e-08,155920870000000.0
134,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1984,1.28736986e-08,155920870000000.0
135,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1985,1.2954025e-08,155920870000000.0
136,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1986,1.2723963e-08,155920870000000.0
137,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1987,1.2826804e-08,155920870000000.0
138,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1988,1.285956e-08,155920870000000.0
139,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1989,1.2920893e-08,155920870000000.0
140,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1990,1.3124134e-08,155920870000000.0
141,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1991,1.3062355e-08,155920870000000.0
142,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1992,1.3137122e-08,155920870000000.0
143,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1993,1.3065186e-08,155920870000000.0
144,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1994,1.3058391e-08,155920870000000.0
145,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1995,1.3136179e-08,155920870000000.0
146,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1996,1.3190103e-08,155920870000000.0
147,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1997,1.3433572e-08,155920870000000.0
148,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1998,1.303173e-08,155920870000000.0
149,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,1999,1.3291783e-08,155920870000000.0
150,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2000,1.3304235e-08,155920870000000.0
151,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2001,1.341537e-08,155920870000000.0
152,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2002,1.3452286e-08,155920870000000.0
153,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2003,1.3496719e-08,155920870000000.0
154,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2004,1.3463098e-08,155920870000000.0
155,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2005,1.375284e-08,155920870000000.0
156,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2006,1.3569011e-08,155920870000000.0
157,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2007,1.3755227e-08,155920870000000.0
158,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2008,1.3771454e-08,155920870000000.0
159,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2009,1.38947485e-08,155920870000000.0
160,npp,historical,kg m-2 s-1,mon,r18i1p1f2,MIROC-ES2L,2010,1.3798812e-08,155920870000000.0
