,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2015,1.4682937e-08,146994670000000.0
1,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2016,1.4547183e-08,146994670000000.0
2,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2017,1.5455361e-08,146994670000000.0
3,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2018,1.5125854e-08,146994670000000.0
4,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2019,1.5018623e-08,146994670000000.0
5,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2020,1.545841e-08,146994670000000.0
6,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2021,1.5739262e-08,146994670000000.0
7,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2022,1.5102767e-08,146994670000000.0
8,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2023,1.5148355e-08,146994670000000.0
9,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2024,1.5526965e-08,146994670000000.0
10,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2025,1.5933244e-08,146994670000000.0
11,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2026,1.5649379e-08,146994670000000.0
12,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2027,1.525882e-08,146994670000000.0
13,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2028,1.5369382e-08,146994670000000.0
14,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2029,1.6464385e-08,146994670000000.0
15,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2030,1.601591e-08,146994670000000.0
16,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2031,1.5790613e-08,146994670000000.0
17,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2032,1.5987451e-08,146994670000000.0
18,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2033,1.6121255e-08,146994670000000.0
19,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2034,1.5775301e-08,146994670000000.0
20,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2035,1.5532446e-08,146994670000000.0
21,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2036,1.5623527e-08,146994670000000.0
22,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2037,1.5810308e-08,146994670000000.0
23,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2038,1.6455312e-08,146994670000000.0
24,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2039,1.617156e-08,146994670000000.0
25,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2040,1.5909887e-08,146994670000000.0
26,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2041,1.641799e-08,146994670000000.0
27,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2042,1.6178822e-08,146994670000000.0
28,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2043,1.597668e-08,146994670000000.0
29,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2044,1.5853137e-08,146994670000000.0
30,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2045,1.5458223e-08,146994670000000.0
31,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2046,1.6170565e-08,146994670000000.0
32,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2047,1.6521247e-08,146994670000000.0
33,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2048,1.7187618e-08,146994670000000.0
34,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2049,1.6440802e-08,146994670000000.0
35,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2050,1.6321676e-08,146994670000000.0
36,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2051,1.6269551e-08,146994670000000.0
37,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2052,1.638448e-08,146994670000000.0
38,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2053,1.6010597e-08,146994670000000.0
39,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2054,1.589077e-08,146994670000000.0
40,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2055,1.611179e-08,146994670000000.0
41,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2056,1.622267e-08,146994670000000.0
42,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2057,1.6544947e-08,146994670000000.0
43,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2058,1.6281417e-08,146994670000000.0
44,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2059,1.6357857e-08,146994670000000.0
45,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2060,1.6881012e-08,146994670000000.0
46,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2061,1.7096564e-08,146994670000000.0
47,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2062,1.6445503e-08,146994670000000.0
48,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2063,1.6070333e-08,146994670000000.0
49,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2064,1.6592901e-08,146994670000000.0
50,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2065,1.7159401e-08,146994670000000.0
51,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2066,1.6228816e-08,146994670000000.0
52,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2067,1.5933944e-08,146994670000000.0
53,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2068,1.6645789e-08,146994670000000.0
54,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2069,1.6269919e-08,146994670000000.0
55,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2070,1.63743e-08,146994670000000.0
56,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2071,1.6875225e-08,146994670000000.0
