,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1850,7.758761e-09,148579500000000.0
1,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1851,7.780431e-09,148579500000000.0
2,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1852,7.75023e-09,148579500000000.0
3,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1853,7.7587154e-09,148579500000000.0
4,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1854,7.731075e-09,148579500000000.0
5,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1855,7.84831e-09,148579500000000.0
6,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1856,7.921926e-09,148579500000000.0
7,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1857,7.70649e-09,148579500000000.0
8,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1858,7.791316e-09,148579500000000.0
9,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1859,7.85982e-09,148579500000000.0
10,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1860,7.60967e-09,148579500000000.0
11,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1861,7.657708e-09,148579500000000.0
12,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1862,7.662433e-09,148579500000000.0
13,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1863,7.664407e-09,148579500000000.0
14,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1864,7.598687e-09,148579500000000.0
15,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1865,7.6759274e-09,148579500000000.0
16,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1866,7.6191204e-09,148579500000000.0
17,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1867,7.650907e-09,148579500000000.0
18,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1868,7.622193e-09,148579500000000.0
19,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1869,7.680836e-09,148579500000000.0
20,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1870,7.853462e-09,148579500000000.0
