,variable,experiment,units,frequency,ensemble,model,year,value,land_area
0,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2015,1.772158e-08,146817270000000.0
1,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2016,1.7633141e-08,146817270000000.0
2,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2017,1.8001904e-08,146817270000000.0
3,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2018,1.82019e-08,146817270000000.0
4,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2019,1.7975985e-08,146817270000000.0
5,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2020,1.866366e-08,146817270000000.0
6,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2021,1.8394129e-08,146817270000000.0
7,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2022,1.8352234e-08,146817270000000.0
8,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2023,1.8912528e-08,146817270000000.0
9,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2024,1.9090663e-08,146817270000000.0
10,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2025,1.8659094e-08,146817270000000.0
11,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2026,1.8595205e-08,146817270000000.0
12,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2027,1.901134e-08,146817270000000.0
13,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2028,1.9421433e-08,146817270000000.0
14,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2029,1.9121353e-08,146817270000000.0
15,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2030,1.912003e-08,146817270000000.0
16,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2031,1.9574625e-08,146817270000000.0
17,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2032,1.9602089e-08,146817270000000.0
18,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2033,1.9711214e-08,146817270000000.0
19,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2034,1.9709757e-08,146817270000000.0
20,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2035,1.9902544e-08,146817270000000.0
21,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2036,2.0020119e-08,146817270000000.0
22,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2037,2.0186567e-08,146817270000000.0
23,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2038,2.0172408e-08,146817270000000.0
24,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2039,2.0257042e-08,146817270000000.0
25,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2040,2.066332e-08,146817270000000.0
26,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2041,2.0524896e-08,146817270000000.0
27,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2042,2.0994811e-08,146817270000000.0
28,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2043,2.0841162e-08,146817270000000.0
29,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2044,2.0956064e-08,146817270000000.0
30,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2045,2.1229868e-08,146817270000000.0
31,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2046,2.136146e-08,146817270000000.0
32,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2047,2.1259714e-08,146817270000000.0
33,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2048,2.1564276e-08,146817270000000.0
34,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2049,2.193979e-08,146817270000000.0
35,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2050,2.2060549e-08,146817270000000.0
36,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2051,2.2102919e-08,146817270000000.0
37,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2052,2.187754e-08,146817270000000.0
38,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2053,2.2219425e-08,146817270000000.0
39,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2054,2.246241e-08,146817270000000.0
40,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2055,2.248232e-08,146817270000000.0
41,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2056,2.2649033e-08,146817270000000.0
42,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2057,2.2851857e-08,146817270000000.0
43,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2058,2.3323652e-08,146817270000000.0
44,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2059,2.3467786e-08,146817270000000.0
45,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2060,2.3277424e-08,146817270000000.0
46,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2061,2.3433019e-08,146817270000000.0
47,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2062,2.3480917e-08,146817270000000.0
48,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2063,2.3829399e-08,146817270000000.0
49,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2064,2.386597e-08,146817270000000.0
50,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2065,2.3766084e-08,146817270000000.0
51,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2066,2.4112422e-08,146817270000000.0
52,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2067,2.4144448e-08,146817270000000.0
53,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2068,2.4768378e-08,146817270000000.0
54,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2069,2.4690186e-08,146817270000000.0
55,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2070,2.4589363e-08,146817270000000.0
56,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2071,2.4900332e-08,146817270000000.0
57,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2072,2.5654126e-08,146817270000000.0
58,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2073,2.5255817e-08,146817270000000.0
59,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2074,2.5134852e-08,146817270000000.0
60,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2075,2.5258414e-08,146817270000000.0
61,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2076,2.6680004e-08,146817270000000.0
62,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2077,2.5880638e-08,146817270000000.0
63,rh,ssp585,kg m-2 s-1,mon,r7i1p2f1,CanESM5,2078,2.6117876e-08,146817270000000.0
