,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2015,381.08542
1,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2016,382.83505
2,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2017,382.3258
3,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2018,380.31033
4,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2019,380.3599
5,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2020,380.84567
6,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2021,383.48474
7,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2022,383.89883
8,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2023,381.49683
9,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2024,382.66968
10,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2025,384.66602
11,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2026,384.515
12,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2027,382.18103
13,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2028,382.36008
14,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2029,383.5247
15,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2030,385.92862
16,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2031,386.3666
17,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2032,385.35364
18,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2033,385.8165
19,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2034,384.73288
20,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2035,385.00696
21,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2036,386.90848
22,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2037,387.68686
23,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2038,385.53653
24,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2039,386.68265
25,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2040,387.5413
26,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2041,385.30972
27,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2042,386.0067
28,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2043,388.40915
29,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2044,388.35074
30,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2045,386.27097
31,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2046,387.16104
32,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2047,389.81088
33,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2048,389.64072
34,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2049,387.12057
35,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2050,386.78036
36,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2051,387.99283
37,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2052,390.41617
38,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2053,390.76358
39,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2054,389.59866
40,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2055,388.97302
41,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2056,390.38757
42,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2057,391.9617
43,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2058,389.9214
44,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2059,389.39072
45,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2060,391.9738
46,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2061,393.00818
47,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2062,391.16214
48,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2063,390.44516
49,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2064,392.80753
50,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2065,393.465
51,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2066,391.3085
52,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2067,392.95352
53,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2068,394.90906
54,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2069,393.5234
55,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2070,393.6659
56,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2071,395.098
57,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2072,395.4894
58,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2073,393.43314
59,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2074,392.02817
60,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2075,394.72812
61,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2076,395.06747
62,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2077,393.67874
63,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2078,395.11038
64,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2079,396.22446
65,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2080,394.76242
66,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2081,393.44177
67,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2082,396.35767
68,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2083,396.9836
69,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2084,394.49594
70,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2085,394.69962
71,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2086,397.1591
72,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2087,397.69888
73,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2088,395.1709
74,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2089,396.49338
75,rlds,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2090,398.67465
