,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2015,375.70914
1,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2016,373.30997
2,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2017,373.08508
3,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2018,374.3574
4,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2019,375.26028
5,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2020,375.54077
6,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2021,374.99228
7,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2022,375.01328
8,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2023,376.19833
9,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2024,375.4596
10,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2025,375.99
11,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2026,376.59155
12,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2027,377.63284
13,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2028,377.25464
14,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2029,375.82263
15,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2030,376.3682
16,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2031,377.76718
17,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2032,377.58975
18,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2033,377.21017
19,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2034,376.73227
20,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2035,376.47964
21,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2036,378.72827
22,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2037,378.98575
23,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2038,378.89404
24,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2039,379.9093
25,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2040,380.10226
26,rlds,ssp370,W m-2,mon,r9i1p1f1,IPSL-CM6A-LR,2041,380.18604
