,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2015,370.0498
1,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2016,369.9175
2,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2017,370.2572
3,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2018,371.8232
4,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2019,371.714
5,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2020,370.71753
6,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2021,371.4183
7,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2022,371.15402
8,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2023,372.2229
9,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2024,373.74622
10,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2025,372.983
11,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2026,372.43387
12,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2027,373.27377
13,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2028,374.36203
14,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2029,374.97168
15,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2030,373.04678
16,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2031,373.5083
17,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2032,374.95474
18,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2033,376.21713
19,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2034,376.05396
20,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2035,375.3878
21,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2036,376.3043
22,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2037,377.24326
23,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2038,376.94492
24,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2039,376.7594
25,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2040,376.96118
26,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2041,377.3628
27,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2042,378.6168
28,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2043,379.7159
29,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2044,377.7098
30,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2045,377.13785
31,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2046,378.82053
32,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2047,379.71826
33,rlds,ssp245,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2048,379.60336
