,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2015,424.87503
1,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2016,425.39084
2,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2017,426.1631
3,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2018,426.04602
4,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2019,424.98022
5,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2020,425.44324
6,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2021,426.81006
7,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2022,426.338
8,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2023,425.70944
9,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2024,426.33792
10,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2025,426.33765
11,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2026,426.11462
12,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2027,426.60303
13,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2028,427.6241
14,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2029,427.1007
15,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2030,427.26468
16,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2031,427.6163
17,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2032,428.4248
18,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2033,428.73657
19,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2034,428.67972
20,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2035,429.55444
21,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2036,429.29355
22,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2037,429.53564
23,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2038,429.9463
24,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2039,429.74265
25,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2040,429.63095
26,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2041,430.59116
27,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2042,431.1086
28,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2043,431.42245
29,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2044,430.66843
30,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2045,431.03995
31,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2046,431.9565
32,rlus,ssp460,W m-2,mon,r5i1p1f1,CanESM5,2047,432.6335
