,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2015,424.89706
1,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2016,425.17416
2,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2017,426.04556
3,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2018,426.01694
4,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2019,426.47885
5,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2020,426.56277
6,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2021,426.21622
7,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2022,426.21066
8,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2023,427.18515
9,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2024,428.00095
10,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2025,427.50858
11,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2026,427.3794
12,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2027,427.41757
13,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2028,427.4
14,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2029,427.88443
15,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2030,429.53317
16,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2031,429.80884
17,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2032,429.94754
18,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2033,430.70642
19,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2034,430.5945
20,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2035,430.646
21,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2036,429.6809
22,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2037,429.8339
23,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2038,431.02103
24,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2039,431.34274
25,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2040,431.50864
26,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2041,432.4233
27,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2042,432.32608
28,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2043,433.31284
29,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2044,433.3617
30,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2045,434.11728
31,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2046,434.93576
32,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2047,435.22495
33,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2048,433.79465
34,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2049,434.12247
35,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2050,435.03223
36,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2051,434.76926
37,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2052,435.47256
38,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2053,435.54626
39,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2054,435.8048
40,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2055,437.71402
41,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2056,438.39017
42,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2057,437.1892
43,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2058,438.66028
44,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2059,439.0403
45,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2060,438.0934
46,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2061,438.16885
47,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2062,438.87207
48,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2063,440.2491
49,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2064,441.62686
50,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2065,441.44638
51,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2066,441.95596
52,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2067,442.69922
53,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2068,442.8325
54,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2069,443.41367
55,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2070,443.92844
56,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2071,445.31177
57,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2072,444.17722
58,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2073,445.86917
59,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2074,446.6643
60,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2075,445.88626
61,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2076,446.29703
62,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2077,447.0415
63,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2078,447.2596
64,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2079,447.8422
65,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2080,448.61118
66,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2081,446.7102
67,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2082,447.9794
68,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2083,449.25558
69,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2084,450.7882
70,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2085,451.47794
71,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2086,451.80923
72,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2087,452.14932
73,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2088,451.3621
74,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2089,451.9426
75,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2090,452.1224
76,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2091,453.60376
77,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2092,454.95633
78,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2093,453.97168
79,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2094,454.52637
80,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2095,456.6648
81,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2096,455.83292
82,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2097,456.87167
83,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2098,458.0127
84,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2099,457.44107
85,rlus,ssp585,W m-2,mon,r1i1p1f1,E3SM-1-1,2100,457.2252
