,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2015,141.21642
1,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2016,141.1917
2,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2017,141.1665
3,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2018,141.40657
4,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2019,141.45842
5,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2020,141.46104
6,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2021,141.49898
7,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2022,141.46156
8,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2023,141.44508
9,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2024,141.35376
10,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2025,141.39041
11,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2026,141.34726
12,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2027,141.33496
13,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2028,141.48271
14,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2029,141.47586
15,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2030,141.453
16,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2031,141.5483
17,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2032,141.66115
18,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2033,141.69513
19,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2034,141.86195
20,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2035,141.71727
21,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2036,141.74333
22,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2037,141.77997
23,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2038,141.69041
24,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2039,141.62628
25,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2040,141.53426
26,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2041,141.62383
27,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2042,141.61154
28,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2043,141.66006
29,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2044,141.7141
30,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2045,141.77357
31,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2046,141.7039
32,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2047,141.66237
33,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2048,141.81296
34,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2049,141.82793
35,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2050,141.92502
36,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2051,141.89885
37,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2052,141.89351
38,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2053,141.89717
39,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2054,141.8701
40,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2055,141.91245
41,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2056,141.93288
42,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2057,141.98187
43,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2058,141.92265
44,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2059,141.90053
45,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2060,141.81412
46,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2061,141.9206
47,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2062,141.89691
48,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2063,141.93776
49,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2064,141.96803
50,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2065,142.02174
51,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2066,141.99455
52,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2067,142.00572
53,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2068,142.08556
54,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2069,142.16408
55,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2070,142.20152
56,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2071,142.03726
57,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2072,142.05923
58,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2073,141.88657
59,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2074,141.82114
60,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2075,141.73524
61,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2076,141.7853
62,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2077,141.70491
63,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2078,141.52185
64,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2079,141.51509
65,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2080,141.75603
66,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2081,141.86569
67,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2082,141.90918
68,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2083,141.88567
69,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2084,141.8543
70,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2085,141.77835
71,rlus,ssp126,W m-2,mon,r4i1p1f1,MPI-ESM1-2-LR,2086,141.86421
