,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2015,205.68462
1,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2016,204.90668
2,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2017,205.26099
3,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2018,205.17932
4,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2019,205.30394
5,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2020,205.70903
6,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2021,205.08592
7,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2022,205.56236
8,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2023,205.72343
9,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2024,205.43083
10,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2025,205.91325
11,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2026,205.58301
12,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2027,205.86046
13,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2028,205.7769
14,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2029,205.9317
15,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2030,205.7293
16,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2031,205.39204
17,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2032,205.75005
18,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2033,205.62117
19,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2034,205.44441
20,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2035,205.53961
21,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2036,206.03131
22,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2037,206.09143
23,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2038,206.24327
24,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2039,205.7405
25,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2040,205.82939
26,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2041,205.84772
27,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2042,206.28778
28,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2043,206.10854
29,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2044,205.72932
30,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2045,206.12752
31,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2046,205.72829
32,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2047,206.26924
33,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2048,206.05891
34,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2049,206.55762
35,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2050,206.10649
36,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2051,206.29466
37,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2052,206.57265
38,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2053,206.36218
39,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2054,206.05322
40,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2055,206.2046
41,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2056,206.54655
42,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2057,206.4728
43,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2058,206.70544
44,rsds,ssp585,W m-2,mon,r1i1p1f1,ACCESS-CM2,2059,206.46797
