,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2015,197.60504
1,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2016,197.64275
2,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2017,198.36296
3,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2018,198.49828
4,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2019,196.81396
5,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2020,197.63826
6,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2021,200.44818
7,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2022,198.3492
8,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2023,198.7032
9,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2024,198.01805
10,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2025,197.91295
11,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2026,199.04982
12,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2027,198.78038
13,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2028,198.21295
14,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2029,198.968
15,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2030,198.1335
16,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2031,196.97948
17,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2032,198.96095
18,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2033,199.13145
19,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2034,198.42511
20,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2035,198.64647
21,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2036,198.9077
22,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2037,198.82027
23,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2038,197.80176
24,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2039,198.7309
25,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2040,199.57623
26,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2041,197.90965
27,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2042,199.57556
28,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2043,198.73268
29,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2044,198.26015
30,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2045,199.18433
31,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2046,199.21863
32,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2047,198.83653
33,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2048,199.25008
34,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2049,198.82751
35,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2050,199.6006
36,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2051,200.02281
37,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2052,198.87206
38,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2053,199.32347
39,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2054,197.5711
40,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2055,198.66325
41,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2056,199.97847
42,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2057,198.66948
43,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2058,199.60469
44,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2059,199.13496
45,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2060,199.8028
46,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2061,200.00592
47,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2062,199.64333
48,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2063,200.07991
49,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2064,199.68877
50,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2065,199.30457
51,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2066,200.0902
52,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2067,199.18536
53,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2068,199.84137
54,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2069,199.48938
55,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2070,200.39696
56,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2071,200.07805
57,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2072,199.70348
58,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2073,200.15593
59,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2074,199.34534
60,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2075,200.46039
61,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2076,200.86427
62,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2077,199.59349
63,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2078,200.52412
64,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2079,199.94812
65,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2080,200.42677
66,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2081,201.02063
67,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2082,200.36555
68,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2083,199.64772
69,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2084,201.04506
70,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2085,200.83423
71,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2086,201.09981
72,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2087,199.96672
73,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2088,200.63464
74,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2089,200.14764
75,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2090,201.02173
76,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2091,201.12737
77,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2092,201.38707
78,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2093,200.7602
79,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2094,201.22095
80,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2095,199.63792
81,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2096,199.94849
82,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2097,200.37514
83,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2098,201.08202
84,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2099,200.60437
85,rsds,ssp245,W m-2,mon,r4i1p1f1,CESM2,2100,200.92137
