,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2015,198.33119
1,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2016,197.34947
2,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2017,197.6822
3,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2018,197.18445
4,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2019,198.36798
5,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2020,197.6112
6,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2021,197.78088
7,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2022,197.80177
8,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2023,198.1009
9,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2024,197.71368
10,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2025,197.62627
11,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2026,197.3314
12,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2027,198.18892
13,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2028,197.6905
14,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2029,198.0216
15,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2030,198.11418
16,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2031,197.85207
17,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2032,198.56288
18,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2033,198.24744
19,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2034,197.7663
20,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2035,198.01619
21,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2036,198.34691
22,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2037,197.9186
23,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2038,197.54932
24,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2039,197.9643
25,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2040,197.58537
26,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2041,197.3427
27,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2042,197.6959
28,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2043,198.1488
29,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2044,197.81927
30,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2045,197.72565
31,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2046,197.42065
32,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2047,197.75372
33,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2048,197.7426
34,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2049,197.5484
35,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2050,198.36859
36,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2051,198.24377
37,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2052,197.6823
38,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2053,197.32788
39,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2054,198.18895
40,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2055,197.9198
41,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2056,197.29308
42,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2057,197.77136
43,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2058,197.98247
44,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2059,197.31787
45,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2060,197.71275
46,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2061,197.76324
47,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2062,197.84375
48,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2063,197.18225
49,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2064,197.76411
50,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2065,198.3993
51,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2066,196.82695
52,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2067,197.98152
53,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2068,197.08531
54,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2069,197.85915
55,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2070,197.4726
56,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2071,196.9019
57,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2072,197.65944
58,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2073,196.79088
59,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2074,197.09277
60,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2075,197.58167
61,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2076,197.45186
62,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2077,197.03883
63,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2078,196.86183
64,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2079,197.38893
65,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2080,196.62123
66,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2081,197.00233
67,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2082,196.42906
68,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2083,197.05836
69,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2084,196.78151
70,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2085,196.21742
71,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2086,195.85878
72,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2087,197.89989
73,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2088,196.26611
74,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2089,195.98315
75,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2090,197.11842
76,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2091,196.95245
77,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2092,196.40627
78,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2093,196.56775
79,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2094,196.55988
80,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2095,197.01099
81,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2096,196.4013
82,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2097,196.91881
83,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2098,196.71631
84,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2099,197.42482
85,rsds,ssp585,W m-2,mon,r2i1p1f1,CanESM5,2100,195.61218
