,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2015,198.66608
1,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2016,199.75099
2,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2017,199.2763
3,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2018,198.37537
4,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2019,198.63332
5,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2020,199.30162
6,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2021,198.32513
7,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2022,198.66316
8,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2023,199.94524
9,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2024,199.43193
10,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2025,198.57014
11,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2026,198.21515
12,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2027,198.38837
13,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2028,197.99554
14,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2029,198.25569
15,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2030,198.54149
16,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2031,198.55583
17,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2032,198.33495
18,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2033,198.97368
19,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2034,198.80403
20,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2035,197.84137
21,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2036,197.8473
22,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2037,197.51776
23,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2038,198.69185
24,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2039,198.25017
25,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2040,198.08934
26,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2041,198.17285
27,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2042,198.4139
28,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2043,197.9706
29,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2044,197.10979
30,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2045,197.5163
31,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2046,198.55818
32,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2047,198.45058
33,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2048,197.73628
34,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2049,197.4077
35,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2050,198.18867
36,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2051,197.38646
37,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2052,197.40068
38,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2053,197.86351
39,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2054,197.96016
40,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2055,197.42682
41,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2056,197.03032
42,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2057,197.28288
43,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2058,196.9879
44,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2059,197.81288
45,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2060,197.3557
46,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2061,196.89854
47,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2062,197.55983
48,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2063,197.83191
49,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2064,197.54353
50,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2065,196.84229
51,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2066,196.74428
52,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2067,197.78223
53,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2068,198.59377
54,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2069,198.63554
55,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2070,197.05664
56,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2071,196.63525
57,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2072,197.26178
58,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2073,197.57819
59,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2074,197.34154
60,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2075,197.12679
61,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2076,197.84418
62,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2077,196.9262
63,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2078,196.95874
64,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2079,197.16597
65,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2080,197.14488
66,rsds,ssp245,W m-2,mon,r7i1p1f2,GISS-E2-1-G,2081,196.75423
