,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2015,195.45454
1,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2016,196.7558
2,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2017,197.69722
3,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2018,196.20258
4,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2019,194.07007
5,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2020,194.33821
6,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2021,195.95436
7,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2022,196.0473
8,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2023,196.50348
9,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2024,194.6258
10,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2025,196.37563
11,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2026,195.97105
12,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2027,193.75624
13,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2028,194.75066
14,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2029,195.10085
15,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2030,194.68279
16,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2031,196.49629
17,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2032,196.8239
18,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2033,195.20528
19,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2034,193.82585
20,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2035,195.2064
21,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2036,194.51256
22,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2037,194.92114
23,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2038,195.84108
24,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2039,195.06915
25,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2040,194.91142
26,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2041,196.69446
27,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2042,195.09337
28,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2043,194.78691
29,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2044,196.03166
30,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2045,195.1643
31,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2046,194.7823
32,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2047,194.55486
33,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2048,195.13118
34,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2049,192.18938
35,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2050,193.77553
36,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2051,195.97072
37,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2052,196.71027
38,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2053,196.48836
39,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2054,195.71382
40,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2055,194.44127
41,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2056,195.31868
42,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2057,196.34138
43,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2058,194.33235
44,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2059,195.88513
45,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2060,196.15575
46,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2061,195.82631
47,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2062,195.03864
48,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2063,195.2567
49,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2064,194.5119
50,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2065,193.72264
51,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2066,194.87242
52,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2067,196.51442
53,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2068,197.38719
54,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2069,194.33307
55,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2070,193.84785
56,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2071,195.48232
57,rsds,ssp245,W m-2,mon,r2i1p1f1,NorESM2-MM,2072,195.41138
