,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0001,205.71147
1,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0002,204.86626
2,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0003,204.7664
3,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0004,205.51776
4,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0005,204.94518
5,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0006,204.58696
6,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0007,205.39183
7,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0008,204.8704
8,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0009,204.36507
9,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0010,204.80994
10,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0011,205.15431
11,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0012,204.26732
12,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0013,205.13232
13,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0014,205.09782
14,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0015,204.77771
15,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0016,204.74382
16,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0017,204.34534
17,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0018,204.57867
18,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0019,205.23766
19,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0020,204.61723
20,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0021,204.02922
21,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0022,204.41313
22,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0023,204.78053
23,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0024,204.22359
24,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0025,205.17967
25,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0026,205.14935
26,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0027,204.70482
27,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0028,204.41278
28,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0029,204.65973
29,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0030,204.50859
30,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0031,204.6488
31,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0032,203.99226
32,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0033,204.38771
33,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0034,204.98328
34,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0035,204.35504
35,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0036,204.53145
36,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0037,203.95435
37,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0038,204.55223
38,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0039,204.92918
39,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0040,204.78621
40,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0041,203.87706
41,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0042,204.49274
42,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0043,204.47581
43,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0044,204.31549
44,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0045,204.08733
45,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0046,204.28711
46,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0047,203.90039
47,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0048,204.20915
48,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0049,204.16156
49,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0050,204.29083
50,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0051,203.61865
51,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0052,204.21169
52,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0053,204.06036
53,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0054,204.14531
54,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0055,204.64325
55,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0056,204.31026
56,rsds,1pctCO2,W m-2,mon,r1i1p1f1,TaiESM1,0057,204.21857
