,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2015,203.57405
1,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2016,204.22215
2,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2017,203.77791
3,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2018,203.80182
4,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2019,203.9444
5,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2020,203.26094
6,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2021,204.1928
7,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2022,203.82715
8,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2023,203.85677
9,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2024,204.74416
10,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2025,204.16876
11,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2026,203.76366
12,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2027,203.81355
13,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2028,203.60182
14,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2029,203.84438
15,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2030,203.87111
16,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2031,203.65584
17,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2032,204.18459
18,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2033,204.01947
19,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2034,203.49689
20,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2035,204.22766
21,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2036,204.2531
22,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2037,205.02705
23,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2038,204.36296
24,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2039,204.54063
25,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2040,204.64748
26,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2041,204.5647
27,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2042,204.3388
28,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2043,204.45044
29,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2044,204.99574
30,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2045,204.39177
31,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2046,205.01683
32,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2047,205.24934
33,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2048,204.63892
34,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2049,204.75453
35,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2050,204.53746
36,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2051,205.06456
37,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2052,204.62273
38,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2053,204.78261
39,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2054,205.1673
40,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2055,204.77571
41,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2056,205.45457
42,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2057,205.21973
43,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2058,205.70428
44,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2059,205.47682
45,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2060,205.26862
46,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2061,205.25691
47,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2062,205.62413
48,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2063,205.32619
49,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2064,205.50197
50,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2065,205.04858
51,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2066,205.20532
52,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2067,205.55803
53,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2068,205.32777
54,rsds,ssp370,W m-2,mon,r7i1p1f2,UKESM1-0-LL,2069,206.07542
