,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2015,11.148754
1,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2016,11.169763
2,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2017,11.207603
3,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2018,11.233067
4,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2019,11.148114
5,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2020,11.191022
6,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2021,11.137428
7,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2022,11.205811
8,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2023,11.214939
9,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2024,11.129645
10,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2025,11.211327
11,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2026,11.265494
12,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2027,11.119728
13,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2028,11.188045
14,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2029,11.147018
15,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2030,11.08546
16,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2031,11.175308
17,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2032,11.125257
18,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2033,11.050941
19,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2034,11.126925
20,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2035,11.139766
21,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2036,11.055648
22,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2037,11.065896
23,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2038,11.041615
24,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2039,11.0526085
25,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2040,11.071488
26,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2041,11.062717
27,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2042,11.026235
28,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2043,11.052856
29,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2044,11.041944
30,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2045,11.000018
31,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2046,11.0581045
32,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2047,11.004685
33,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2048,11.01835
34,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2049,10.954019
35,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2050,10.991513
36,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2051,11.058883
37,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2052,10.995282
38,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2053,11.127706
39,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2054,11.149719
40,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2055,11.064266
41,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2056,11.097371
42,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2057,11.021965
43,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2058,11.018634
44,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2059,11.108022
45,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2060,11.027526
46,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2061,10.996011
47,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2062,10.99279
48,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2063,11.013057
49,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2064,11.066502
50,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2065,10.979576
51,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2066,10.997916
52,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2067,10.913761
53,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2068,10.960643
54,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2069,10.911181
55,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2070,10.919103
56,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2071,10.909756
57,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2072,10.956951
58,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2073,10.989788
59,rsus,ssp245,W m-2,mon,r11i1p1f1,CESM2,2074,10.981729
