,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2015,10.9622965
1,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2016,10.931968
2,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2017,10.970557
3,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2018,10.977242
4,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2019,11.000747
5,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2020,10.872794
6,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2021,10.913325
7,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2022,10.882476
8,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2023,11.003076
9,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2024,10.985032
10,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2025,10.963379
11,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2026,10.936446
12,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2027,10.863571
13,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2028,10.930626
14,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2029,10.956703
15,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2030,10.973237
16,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2031,10.938564
17,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2032,10.8688
18,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2033,10.88588
19,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2034,10.849393
20,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2035,10.925471
21,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2036,10.874802
22,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2037,10.913357
23,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2038,10.823873
24,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2039,10.7756605
25,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2040,10.780845
26,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2041,10.8840475
27,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2042,10.918712
28,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2043,10.862388
29,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2044,10.798744
30,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2045,10.848161
31,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2046,10.852117
32,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2047,10.823517
33,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2048,10.811456
34,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2049,10.734703
35,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2050,10.696705
36,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2051,10.751863
37,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2052,10.746005
38,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2053,10.71056
39,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2054,10.703237
40,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2055,10.75932
41,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2056,10.795711
42,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2057,10.766545
43,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2058,10.803104
44,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2059,10.793979
45,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2060,10.684104
46,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2061,10.719665
47,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2062,10.697406
48,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2063,10.701682
49,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2064,10.7345085
50,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2065,10.69186
51,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2066,10.69627
52,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2067,10.617339
53,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2068,10.628783
54,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2069,10.602492
55,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2070,10.646123
56,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2071,10.757266
57,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2072,10.703922
58,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2073,10.728993
59,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2074,10.648236
60,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2075,10.591186
61,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2076,10.569261
62,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2077,10.647686
63,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2078,10.613328
64,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2079,10.552251
65,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2080,10.528512
66,rsus,ssp370,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2081,10.5604315
