,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2015,13.315963
1,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2016,13.32573
2,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2017,13.283502
3,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2018,13.257247
4,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2019,13.208276
5,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2020,13.129222
6,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2021,13.204159
7,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2022,13.076072
8,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2023,13.118712
9,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2024,13.159519
10,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2025,13.123726
11,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2026,13.065929
12,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2027,13.171126
13,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2028,13.086726
14,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2029,13.103786
15,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2030,13.01606
16,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2031,13.02167
17,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2032,12.993923
18,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2033,13.006038
19,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2034,13.103614
20,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2035,13.04858
21,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2036,13.064079
22,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2037,13.021853
23,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2038,12.943381
24,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2039,13.015305
25,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2040,12.99639
26,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2041,12.900894
27,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2042,12.924984
28,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2043,12.858585
29,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2044,12.917325
30,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2045,12.933261
31,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2046,12.996869
32,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2047,12.847268
33,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2048,12.833778
34,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2049,12.818746
35,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2050,12.916713
36,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2051,12.755207
37,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2052,12.7537
38,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2053,12.8869505
39,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2054,12.872409
40,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2055,12.866955
41,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2056,12.771546
42,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2057,12.711521
43,rsus,ssp370,W m-2,mon,r6i1p2f1,CanESM5,2058,12.757675
