,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2015,13.565389
1,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2016,13.462085
2,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2017,13.33157
3,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2018,13.352437
4,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2019,13.392533
5,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2020,13.384793
6,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2021,13.338306
7,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2022,13.405065
8,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2023,13.376862
9,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2024,13.408914
10,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2025,13.326577
11,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2026,13.357179
12,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2027,13.369634
13,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2028,13.287158
14,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2029,13.318427
15,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2030,13.282977
16,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2031,13.354153
17,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2032,13.473519
18,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2033,13.359691
19,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2034,13.4264555
20,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2035,13.420644
21,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2036,13.433907
22,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2037,13.34488
23,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2038,13.214711
24,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2039,13.210803
25,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2040,13.310445
26,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2041,13.182629
27,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2042,13.132262
28,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2043,13.102352
29,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2044,13.064681
30,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2045,13.057967
31,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2046,13.195255
32,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2047,13.100441
33,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2048,13.0022
34,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2049,13.018768
35,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2050,12.992303
36,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2051,13.016548
37,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2052,12.953209
38,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2053,12.994255
39,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2054,13.018863
40,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2055,12.985825
41,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2056,12.870327
42,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2057,12.839339
43,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2058,12.769719
44,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2059,12.883233
45,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2060,12.841069
46,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2061,12.913249
47,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2062,12.903228
48,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2063,12.8424
49,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2064,12.850957
50,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2065,12.851296
51,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2066,12.7586355
52,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2067,12.764965
53,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2068,12.7656975
54,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2069,12.737596
55,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2070,12.711385
56,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2071,12.663285
57,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2072,12.60677
58,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2073,12.685043
59,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2074,12.643281
60,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2075,12.692241
61,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2076,12.660583
62,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2077,12.608616
63,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2078,12.565942
64,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2079,12.554889
65,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2080,12.539013
66,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2081,12.407325
67,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2082,12.512116
68,rsus,ssp585,W m-2,mon,r1i1p1f1,IPSL-CM6A-LR,2083,12.563519
