,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2015,10.673322
1,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2016,10.622438
2,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2017,10.522686
3,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2018,10.584684
4,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2019,10.611682
5,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2020,10.641331
6,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2021,10.582709
7,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2022,10.5621
8,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2023,10.612364
9,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2024,10.628575
10,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2025,10.609783
11,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2026,10.5834055
12,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2027,10.534638
13,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2028,10.531007
14,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2029,10.550435
15,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2030,10.551738
16,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2031,10.5676985
17,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2032,10.471662
18,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2033,10.48669
19,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2034,10.568814
20,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2035,10.576484
21,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2036,10.498477
22,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2037,10.460099
23,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2038,10.535344
24,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2039,10.523548
25,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2040,10.505013
26,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2041,10.481717
27,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2042,10.415306
28,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2043,10.447116
29,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2044,10.506703
30,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2045,10.4109125
31,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2046,10.3942
32,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2047,10.511584
33,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2048,10.501119
34,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2049,10.443133
35,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2050,10.356392
36,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2051,10.462059
37,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2052,10.500688
38,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2053,10.477433
39,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2054,10.32405
40,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2055,10.413626
41,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2056,10.429616
42,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2057,10.362759
43,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2058,10.268056
44,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2059,10.420428
45,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2060,10.402088
46,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2061,10.37374
47,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2062,10.342288
48,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2063,10.296314
49,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2064,10.268466
50,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2065,10.30702
51,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2066,10.324313
52,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2067,10.233677
53,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2068,10.231301
54,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2069,10.286778
55,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2070,10.298774
56,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2071,10.302329
57,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2072,10.214
58,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2073,10.147578
59,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2074,10.26214
60,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2075,10.292547
61,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2076,10.284045
62,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2077,10.182345
63,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2078,10.118321
64,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2079,10.184636
65,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2080,10.244473
66,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2081,10.193534
67,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2082,10.152802
68,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2083,10.10514
69,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2084,10.152654
70,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2085,10.207342
71,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2086,10.171037
72,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2087,10.153113
73,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2088,10.103444
74,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2089,10.065593
75,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2090,10.166045
76,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2091,10.195384
77,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2092,10.170879
78,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2093,10.091204
79,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2094,10.056889
80,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2095,10.141763
81,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2096,10.116435
82,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2097,10.070661
83,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2098,10.059246
84,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2099,10.001233
85,rsus,ssp585,W m-2,mon,r38i1p1f1,MIROC6,2100,10.084501
