,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2015,13.276803
1,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2016,13.283616
2,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2017,13.136205
3,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2018,13.215655
4,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2019,13.270881
5,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2020,13.163589
6,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2021,13.137749
7,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2022,13.126615
8,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2023,13.1451
9,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2024,13.024734
10,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2025,13.159004
11,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2026,13.232964
12,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2027,13.075535
13,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2028,13.12532
14,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2029,13.080773
15,rsus,ssp245,W m-2,mon,r4i1p1f1,MRI-ESM2-0,2030,13.144221
