,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2015,288.24622971744566
1,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2016,288.31431876355225
2,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2017,288.3361527382265
3,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2018,288.3837575423754
4,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2019,288.0950323537002
5,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2020,288.1123990139367
6,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2021,288.3894617105239
7,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2022,288.3965214194517
8,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2023,288.3003920376162
9,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2024,288.3818514197136
10,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2025,288.5442991419229
11,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2026,288.5441765830877
12,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2027,288.4940639371955
13,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2028,288.70499263741834
14,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2029,288.7263757674785
15,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2030,288.5322384828385
16,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2031,288.6060235764524
17,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2032,288.74059526843956
18,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2033,288.6881604295383
19,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2034,288.8581823332026
20,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2035,288.9469083276876
21,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2036,288.7431801535454
22,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2037,288.83304210049613
23,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2038,289.03558788893116
24,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2039,288.8672288301899
25,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2040,289.0140849247122
26,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2041,288.76430666527034
27,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2042,288.7557413543586
28,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2043,289.0656672991775
29,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2044,289.19176152937706
30,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2045,289.16669718688746
31,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2046,289.3206486380184
32,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2047,289.38151359303737
33,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2048,289.3938000154371
34,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2049,289.384907619219
35,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2050,289.3663104166748
36,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2051,289.40756383603906
37,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2052,289.35988185886254
38,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2053,289.1847191872517
39,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2054,289.3937734821788
40,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2055,289.6038339916961
41,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2056,289.66748193865914
42,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2057,289.5197999604517
43,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2058,289.56372393547
44,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2059,289.63564581582557
45,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2060,289.6247369673705
46,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2061,289.6788963792913
47,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2062,289.5474071186845
48,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2063,289.52170615627955
49,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2064,289.54793223975145
50,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2065,289.55676340930387
51,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2066,289.4929431636532
52,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2067,289.7371244396622
53,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2068,289.8854419504066
54,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2069,289.68618644371526
55,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2070,289.93896983783503
56,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2071,289.98943561577363
57,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2072,289.80264946750316
58,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2073,289.8356858228431
59,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2074,289.92960227922674
60,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2075,290.0135973637958
61,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2076,289.8693180190514
62,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2077,289.8561485698604
63,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2078,290.0096583594156
64,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2079,290.13789397734774
65,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2080,290.151251187905
66,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2081,290.2013336319278
67,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2082,290.1761026648864
68,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2083,290.271055928894
69,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2084,290.2251740688123
70,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2085,289.96314487160754
71,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2086,290.1662068472901
72,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2087,290.32533639326573
73,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2088,290.33438547200586
74,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2089,290.2987446071412
75,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2090,290.30092457033584
76,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2091,290.200710109889
77,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2092,290.3545761755534
78,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2093,290.3006345068834
79,tas,ssp245,K,mon,r1i1p1f1,CESM2-WACCM,2094,290.11113653477514
