,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2015,288.4009460897915
1,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2016,288.4404985249851
2,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2017,288.2750228553723
3,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2018,288.2676450510019
4,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2019,288.4092840103691
5,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2020,288.3980582873001
6,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2021,288.473344184818
7,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2022,288.44781013578125
8,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2023,288.3527211346431
9,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2024,288.53183257089773
10,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2025,288.5566161736228
11,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2026,288.5054477505212
12,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2027,288.60520395357554
13,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2028,288.5063900095124
14,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2029,288.540576294172
15,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2030,288.60816128919157
16,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2031,288.59069174118304
17,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2032,288.57298044309886
18,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2033,288.6811068151269
19,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2034,288.6851319068441
20,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2035,288.6137564472778
21,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2036,288.66066806284226
22,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2037,288.70176046635453
23,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2038,288.5848308776798
24,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2039,288.5615066097362
25,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2040,288.70912877850077
26,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2041,288.7055573629539
27,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2042,288.7321603062886
28,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2043,288.67004823973826
29,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2044,288.79305731967787
30,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2045,288.8543673874964
31,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2046,288.784322362145
32,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2047,288.9098203802069
33,tas,ssp460,K,mon,r1i1p1f1,FGOALS-g3,2048,288.86078637976306
