,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2015,289.29698341574687
1,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2016,288.89939246039006
2,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2017,288.7786574133522
3,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2018,288.92862729655
4,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2019,289.1195981281741
5,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2020,289.46095006383644
6,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2021,289.1120107616587
7,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2022,289.03808561902827
8,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2023,289.0785702873959
9,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2024,289.3123519320447
10,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2025,289.48755491876
11,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2026,289.54486935985216
12,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2027,289.2111553669617
13,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2028,289.30120326386225
14,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2029,289.4291095209985
15,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2030,289.5729743244378
16,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2031,289.80100721020506
17,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2032,289.4758541968384
18,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2033,289.3867125032394
19,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2034,289.6073522582196
20,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2035,289.7730857924732
21,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2036,289.87833933685806
22,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2037,289.61680288165854
23,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2038,289.4268340365301
24,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2039,289.49829305806026
25,tas,ssp119,K,mon,r1i1p1f2,MIROC-ES2L,2040,289.6280845559243
