,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2015,289.37404901851147
1,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2016,289.3318980917456
2,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2017,289.058022873042
3,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2018,289.03048556217885
4,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2019,289.2342984665728
5,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2020,289.3013894464357
6,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2021,289.5007502834175
7,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2022,289.1986149601677
8,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2023,289.15465909194745
9,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2024,289.37299110581665
10,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2025,289.5464009655994
11,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2026,289.44038997749385
12,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2027,289.27780001206537
13,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2028,289.3744356703239
14,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2029,289.35523263578744
15,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2030,289.37127881192885
16,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2031,289.60746114579376
17,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2032,289.67489778897664
18,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2033,289.88879802178667
19,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2034,289.99620135063736
20,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2035,289.6018987265217
21,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2036,289.5565423649743
22,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2037,289.76414441723017
23,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2038,290.00110759473665
24,tas,ssp245,K,mon,r7i1p1f1,MIROC6,2039,289.95478228302136
