,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2015,287.70975198014247
1,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2016,287.7726368564209
2,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2017,287.6672913225764
3,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2018,287.6703957015969
4,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2019,287.70131710411135
5,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2020,287.8527003673292
6,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2021,287.705562860703
7,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2022,287.8654648257955
8,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2023,288.0488023379753
9,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2024,287.9470298398497
10,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2025,287.8578094069148
11,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2026,288.02108729200063
12,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2027,287.83060941934394
13,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2028,288.02013695494435
14,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2029,288.1700454771789
15,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2030,288.2248344357679
16,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2031,288.2382038771886
17,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2032,288.1670796525147
18,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2033,288.03713158714953
19,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2034,288.08706183309624
20,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2095,290.8528809098806
21,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2096,290.9343698672556
22,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2097,290.9343450121787
23,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2098,290.9775740738373
24,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2099,290.9113198014024
25,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2100,291.039505425379
26,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2035,288.3442729270785
27,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2036,288.4230689657027
28,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2037,288.41190995754977
29,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2038,288.1935467294517
30,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2039,288.0841660756145
31,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2040,288.2531137632498
32,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2041,288.6059883370497
33,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2042,288.64893359361486
34,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2043,288.3347354955377
35,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2044,288.28466524985777
36,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2045,288.40464441829664
37,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2046,288.61345749846305
38,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2047,288.59133794236925
39,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2048,288.61445955473584
40,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2049,288.7385555654079
41,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2050,288.88236465432954
42,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2051,288.7853986276892
43,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2052,288.89687968167846
44,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2053,289.0886161274656
45,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2054,289.01790769606873
46,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2075,289.872101165243
47,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2076,289.9544058704656
48,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2077,290.09124246330197
49,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2078,290.14906495836453
50,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2079,290.0278669676033
51,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2080,290.0054255166459
52,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2081,290.14186498428177
53,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2082,290.3542013594626
54,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2083,290.35480740890745
55,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2084,290.3303723626675
56,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2085,290.3589460782961
57,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2086,290.4042089348584
58,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2087,290.48730606373095
59,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2088,290.55447192110836
60,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2089,290.7606752976967
61,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2090,290.7550971296189
62,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2091,290.80257238911
63,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2092,290.7335532813902
64,tas,ssp585,K,mon,r6i1p1f1,MPI-ESM1-2-LR,2093,290.7781012075383
