,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1850,286.86959106872547
1,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1851,286.73098496118166
2,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1852,286.72929619793535
3,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1853,286.7137895605362
4,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1854,286.67701638046816
5,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1855,286.7981522118591
6,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1856,286.8231796371443
7,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1857,287.0101139428219
8,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1858,286.95182186971255
9,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1859,286.90608195164566
10,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1860,286.9921140938963
11,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1861,287.0510189266998
12,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1862,287.02977631389984
13,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1863,286.86958461732144
14,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1864,286.9722773716896
15,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1865,287.1454782037386
16,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1866,286.9521403928473
17,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1867,286.8688672681862
18,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1868,286.9280871633623
19,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1869,287.1274526797867
20,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1870,287.35654002469136
21,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1871,287.24382059719545
22,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1872,287.22122690020336
23,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1873,287.3303062824843
24,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1874,287.51666360962514
25,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1875,287.36704005184055
26,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1876,287.3583379143643
27,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1877,287.43759769168145
28,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1878,287.52455866693646
29,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1879,287.6790455093157
30,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1880,287.6682061000728
31,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1881,287.70099871316205
32,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1882,287.85569129399863
33,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1883,287.54298094956704
34,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1884,287.62092579006475
35,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1885,287.94992290292885
36,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1886,288.1033932026186
37,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1887,287.90748946439993
38,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1888,288.0027095673937
39,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1889,288.02389402032185
40,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1890,287.98973230582624
41,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1891,287.9841272566194
42,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1892,287.90996375230657
43,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1893,288.08990338787083
44,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1894,288.28691743236095
45,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1895,288.40377930798627
46,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1896,288.4488853790695
47,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1897,288.50913006289926
48,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1898,288.44526759897695
49,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1899,288.4463017053957
50,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1900,288.47571278609655
51,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1901,288.5178285598742
52,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1902,288.5080003199459
53,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1903,288.61459147212594
54,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1904,288.69786796504314
55,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1905,288.5366009724308
56,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1906,288.6330812856541
57,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1907,288.7988957502816
58,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1908,288.8037343813674
59,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1909,288.7170854226097
60,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1910,288.71957778980106
61,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1911,288.7888635977335
62,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1912,288.8097196913712
63,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1913,288.82264203041905
64,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1914,289.0265567429991
65,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1915,289.04955830478303
66,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1916,289.1924448449874
67,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1917,289.25993356354917
68,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1918,289.4509087638049
69,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1919,289.5697785194889
70,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1920,289.31695056433585
71,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1921,289.425367446629
72,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1922,289.45393018253776
73,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1923,289.542980122862
74,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1924,289.5573255357031
75,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1925,289.66545304436426
76,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1926,289.65551766657944
77,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1927,289.6088764196446
78,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1928,289.8412186723854
79,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1929,290.0731841486386
80,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1930,289.81253403818016
81,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1931,289.9306063104927
82,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1932,289.90697227912034
83,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1933,289.9862251920766
84,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1934,289.80890087492
85,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1935,289.99342739998946
86,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1936,290.2744328574954
87,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1937,290.3336878272325
88,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1938,290.2129157688542
89,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1939,290.2873386219431
90,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1940,290.53929109593435
91,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1941,290.57566627342686
92,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1942,290.4496304299944
93,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1943,290.49082007873125
94,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1944,290.68585189816645
95,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1945,290.85794555458125
96,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1946,290.5945410246838
97,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1947,290.5304007916635
98,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1948,290.744769244683
99,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1949,290.79007985656096
100,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1950,291.05841489377076
101,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1951,290.9746934889238
102,tas,1pctCO2,K,mon,r1i1p1f2,UKESM1-0-LL,1952,291.05331133597275
