,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1850,287.6583945402333
1,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1851,287.5146584221749
2,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1852,287.64937341332285
3,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1853,287.4608860179383
4,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1854,287.5754920338039
5,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1855,287.52621413109415
6,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1856,287.59408193256354
7,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1857,287.77916828292916
8,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1858,287.8783980107393
9,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1859,287.9142087343517
10,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1860,287.8976693782068
11,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1861,287.69673325207896
12,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1862,287.6558646188301
13,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1863,287.66048421150543
14,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1864,287.6812853609644
15,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1865,287.5859469954945
16,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1866,287.6232918052895
17,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1867,287.6248139391265
18,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1868,287.55751741948364
19,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1869,287.63229587326896
20,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1870,287.71427998139603
21,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1871,287.73767074743614
22,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1872,287.6328983938381
23,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1873,287.6366754471797
24,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1874,287.5619653109735
25,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1875,287.4291175696291
26,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1876,287.57489157643414
27,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1877,287.68278425887064
28,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1878,287.5550522892928
29,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1879,287.6863316107667
30,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1880,287.74790384628557
31,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1881,287.70977318778614
32,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1882,287.62412691495973
33,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1883,287.4294993271176
34,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1884,287.3757115456585
35,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1885,287.44013030922287
36,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1886,287.53142093409747
37,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1887,287.6515500430391
38,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1888,287.55206791039404
39,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1889,287.71801930310517
40,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1890,287.81164698984514
41,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1891,287.7501476369225
42,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1892,287.5650846539433
43,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1893,287.6226600179949
44,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1894,287.6882920980535
45,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1895,287.62731379911503
46,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1896,287.74257850645563
47,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1897,287.70644488399654
48,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1898,287.6699202838084
49,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1899,287.6822238112842
50,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1900,287.64846092582604
51,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1901,287.674218513418
52,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1902,287.68856282214466
53,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1903,287.47790843619435
54,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1904,287.5099643575505
55,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1905,287.5657820897813
56,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1906,287.61160224491744
57,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1907,287.58946293119044
58,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1908,287.74014611654053
59,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1909,287.826245944501
60,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1910,287.7205686677857
61,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1911,287.602092367086
62,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1912,287.6053243519789
63,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1913,287.61933595227947
64,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1914,287.49775492942865
65,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1915,287.5992814092179
66,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1916,287.5039153907757
67,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1917,287.60056461241487
68,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1918,287.7436231464738
69,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1919,287.59534249030526
70,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1920,287.61438713201056
71,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1921,287.60028163202486
72,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1922,287.5375466650428
73,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1923,287.6527302497066
74,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1924,287.62281246373374
75,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1925,287.60916329219884
76,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1926,287.7246907951989
77,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1927,287.6628627581695
78,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1928,287.4983892449331
79,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1929,287.57800184290903
80,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1930,287.7273418779802
81,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1931,287.7951561612169
82,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1932,287.810053724037
83,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1933,287.8203106799071
84,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1934,287.8737061825023
85,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1935,287.9339609108889
86,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1936,287.85155678932887
87,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1937,287.78670337601716
88,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1938,287.93330200760545
89,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1939,287.9193280383651
90,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1940,287.68972759345314
91,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1941,287.76921194331436
92,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1942,287.8167303322771
93,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1943,287.76409486669843
94,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1944,287.8220596900688
95,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1945,287.85888523885967
96,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1946,287.7796212913803
97,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1947,287.7403667286212
98,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1948,287.9492031517473
99,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1949,288.02167782853417
100,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1950,287.79996953505133
101,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1951,287.6387321106672
102,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1952,287.79288435948314
103,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1953,287.85261129050434
104,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1954,287.84247882048516
105,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1955,287.77333532957215
106,tas,historical,K,mon,r10i1p1f1,ACCESS-ESM1-5,1956,287.858171272587
