,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2015,288.41124382448317
1,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2016,288.38351605873544
2,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2017,288.49901026408605
3,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2018,288.57885757491084
4,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2019,288.5886663500485
5,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2020,288.5869628900227
6,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2021,288.56151353086744
7,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2022,288.54815774258105
8,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2023,288.75422548021066
9,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2024,289.02949655964824
10,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2025,289.09215961917596
11,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2026,288.8805494254363
12,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2027,288.9155070752516
13,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2028,289.02864108172184
14,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2029,288.9436064776686
15,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2030,288.9568653764948
16,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2031,289.1000842063687
17,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2032,289.1419614641797
18,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2033,289.07954489400646
19,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2034,289.3057151882594
20,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2035,289.408516443224
21,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2036,289.1950897582572
22,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2037,289.2166204132633
23,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2038,289.30524496374716
24,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2039,289.3603829570256
25,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2040,289.6164814039843
26,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2041,289.68108066452737
27,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2042,289.7340792005558
28,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2043,289.6494535285495
29,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2044,289.74645626881903
30,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2045,289.8970503207177
31,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2046,290.1282623406344
32,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2047,290.0063268227464
33,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2048,289.7478214294103
34,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2049,289.8200179924118
35,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2050,289.8971425258821
36,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2051,290.13164928967086
37,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2052,290.20473173266583
38,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2053,290.12627347315095
39,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2054,290.3434822429895
40,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2055,290.43642986182135
41,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2056,290.6183078536713
42,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2057,290.6661012897907
43,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2058,290.50200455405945
44,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2059,290.6390427097737
45,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2060,290.664021739844
46,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2061,290.92487276592266
47,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2062,290.88330211175736
48,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2063,290.7147622471935
49,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2064,290.74986399429616
50,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2065,290.8270644736888
51,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2066,290.8471842788222
52,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2067,291.07061618641364
53,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2068,291.2235344479836
54,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2069,291.2102664133499
55,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2070,291.1952921852539
56,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2071,291.2013416482745
57,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2072,291.4334284274202
58,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2073,291.6045103120413
59,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2074,291.67475828634446
60,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2075,291.5161927518058
61,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2076,291.4389542586817
62,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2077,291.5782705799781
63,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2078,291.93206283340567
64,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2079,291.8745646492278
65,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2080,291.8789933085972
66,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2081,291.93731316131766
67,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2082,292.0630519786176
68,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2083,292.1033117194579
69,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2084,292.0771918111934
70,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2085,292.04868176721374
71,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2086,292.1666487250642
72,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2087,292.419273385225
73,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2088,292.3514707102475
74,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2089,292.35498815090494
75,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2090,292.53502258827524
76,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2091,292.58193602474745
77,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2092,292.62564290499193
78,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2093,292.6834095250353
79,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2094,292.8534012063356
80,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2095,292.9184018076335
81,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2096,292.84287677917706
82,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2097,293.0242156453396
83,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2098,293.0987500722453
84,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2099,293.27308671060763
85,tas,ssp370,K,mon,r17i1p1f1,CanESM5,2100,293.1276866382464
