,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1850,286.7781495048428
1,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1851,286.85959318867384
2,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1852,286.9961245065739
3,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1853,286.96511148552673
4,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1854,286.6279483975076
5,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1855,286.74193360584354
6,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1856,286.7876844596653
7,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1857,286.7251281008253
8,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1858,286.72090367779
9,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1859,286.87485233671794
10,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1860,287.0358759998848
11,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1861,286.7683432696858
12,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1862,286.51669435457205
13,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1863,286.6465302909443
14,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1864,286.82782585936303
15,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1865,286.7384378694412
16,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1866,286.7527754253524
17,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1867,286.9189354253059
18,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1868,286.77031003713915
19,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1869,286.71219581098745
20,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1870,286.9278574122121
21,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1871,287.1406700530882
22,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1872,286.93650668674877
23,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1873,286.71082763380144
24,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1874,286.80724251314376
25,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1875,286.96423553729477
26,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1876,286.70495481134174
27,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1877,286.6343019104579
28,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1878,286.96550505633866
29,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1879,286.8700878407972
30,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1880,286.795525421342
31,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1881,286.71482864928197
32,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1882,286.6980652867785
33,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1883,286.6777936262245
34,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1884,286.41817719374995
35,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1885,286.56852702859806
36,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1886,286.571451881124
37,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1887,286.55215918304856
38,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1888,286.85944703890056
39,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1889,286.8476929210349
40,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1890,286.84743035652053
41,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1891,286.88177727996896
42,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1892,286.8834397794786
43,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1893,286.6434305389898
44,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1894,286.50989906125324
45,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1895,286.672840337317
46,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1896,286.892887803183
47,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1897,286.72678746169885
48,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1898,286.7327542294118
49,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1899,286.956456807204
50,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1900,286.8800442656131
51,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1901,286.7283227648505
52,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1902,286.88573045750354
53,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1903,286.7795940544074
54,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1904,286.64429923751703
55,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1905,286.51155314651413
56,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1906,286.7077148528811
57,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1907,286.85454562933205
58,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1908,286.8485353158067
59,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1909,286.727876495667
60,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1910,286.74663318576677
61,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1911,286.9756552377832
62,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1912,286.84180941127437
63,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1913,286.40651323982144
64,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1914,286.53457745585376
65,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1915,286.74396973354425
66,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1916,286.8723246607419
67,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1917,287.12353233791475
68,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1918,286.7911885258628
69,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1919,286.6772448621187
70,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1920,286.73000339777803
71,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1921,287.012385164458
72,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1922,287.03969715634867
73,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1923,286.71867317530314
74,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1924,286.6267208298638
75,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1925,286.6791281421801
76,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1926,286.9098768223472
77,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1927,287.1050860824061
78,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1928,287.06242366833817
79,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1929,286.9322744075744
80,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1930,286.86183830123065
81,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1931,286.966681586363
82,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1932,287.04471396843815
83,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1933,287.0014496353173
84,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1934,286.77025140366715
85,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1935,286.86783372791643
86,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1936,286.7517191233737
87,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1937,286.7885232350399
88,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1938,287.00588346554304
89,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1939,287.14862229903054
90,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1940,286.922545701399
91,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1941,286.71779402297324
92,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1942,286.84269702583236
93,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1943,287.11448550896245
94,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1944,286.8593952573304
95,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1945,286.7573945965974
96,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1946,286.8573445847573
97,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1947,287.0210936340385
98,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1948,287.2553377670676
99,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1949,286.95735517847373
100,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1950,286.88594545226107
101,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1951,286.936826051098
102,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1952,287.2616056781769
103,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1953,286.9965744681893
104,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1954,286.9374760479962
105,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1955,287.0751347736313
106,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1956,287.2186601423288
107,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1957,286.9794583260984
108,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1958,286.74190380433294
109,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1959,287.0831509736212
110,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1960,287.16740601794265
111,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1961,286.9689079402238
112,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1962,286.7002900400226
113,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1963,286.8181292955009
114,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1964,287.0236330779495
115,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1965,286.7749002362072
116,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1966,286.8434746657326
117,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1967,286.9434196975995
118,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1968,286.80404239273895
119,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1969,286.977805703734
120,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1970,287.2210530883263
121,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1971,286.9130049251019
122,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1972,286.7012338011544
123,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1973,286.7007055080149
124,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1974,287.0146491830134
125,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1975,287.02216360437683
126,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1976,286.74086083684006
127,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1977,286.99784575742984
128,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1978,287.1723916059629
129,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1979,286.8970255124263
130,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1980,286.87147515761734
131,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1981,287.14089385358085
132,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1982,287.2457558733586
133,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1983,287.1038328318289
134,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1984,286.7914081682846
135,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1985,286.8730561931345
136,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1986,287.20778203081375
137,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1987,287.0771667336987
138,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1988,286.94673912252284
139,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1989,287.0314904506928
140,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1990,287.2576947909153
141,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1991,287.3743043949775
142,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1992,286.91706240605066
143,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1993,286.9141722273766
144,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1994,287.012048161964
145,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1995,287.1988733351182
146,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1996,287.1026133056236
147,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1997,287.47149201962776
148,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1998,287.42022686379215
149,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,1999,287.11040452290035
150,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2000,287.22554457847843
151,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2001,287.609413612991
152,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2002,287.66350478966655
153,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2003,287.4853887960131
154,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2004,287.33539769922777
155,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2005,287.4438648094073
156,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2006,287.6957808724179
157,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2007,287.74122450476614
158,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2008,287.4305182710909
159,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2009,287.4872096879686
160,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2010,287.6315812378153
161,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2011,287.74459979116614
162,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2012,287.7267469288693
163,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2013,287.60297082656143
164,tas,historical,K,mon,r3i1p1f2,GISS-E2-1-G,2014,287.64722417021795
