,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2015,287.84932418759075
1,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2016,287.58724412980786
2,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2017,287.6385659177815
3,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2018,287.78628377279887
4,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2019,287.8620523558241
5,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2020,287.81705640192655
6,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2021,287.79792766199165
7,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2022,287.9140003649673
8,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2023,288.04640399065767
9,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2024,288.05575103843427
10,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2025,287.8501836965887
11,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2026,287.86686677734457
12,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2027,288.10321065829066
13,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2028,288.23238626670803
14,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2029,288.04662489901676
15,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2030,288.10402393953007
16,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2031,288.21879751301026
17,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2032,288.1841712879854
18,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2033,288.27624638366984
19,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2034,288.4734872541572
20,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2035,288.42683613987225
21,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2036,288.24078828526655
22,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2037,288.1071927421163
23,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2038,288.3749200438717
24,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2039,288.6116620164047
25,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2040,288.47145794385693
26,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2041,288.200457096501
27,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2042,288.30751817261046
28,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2043,288.5765537461563
29,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2044,288.70990067211653
30,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2045,288.6495309163004
31,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2046,288.37756621181546
32,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2047,288.39934455284157
33,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2048,288.74508543085915
34,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2049,288.84654648334964
35,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2050,288.7298898471801
36,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2051,288.75059515048645
37,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2052,288.63985046831164
38,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2053,288.75344428279425
39,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2054,288.6073677357035
40,tas,ssp434,K,mon,r3i1p1f2,GISS-E2-1-G,2055,288.56116725341
