,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1850,287.0782489111746
1,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1851,287.1322833212362
2,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1852,287.0880345642589
3,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1853,287.0307281070349
4,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1854,286.92352629983446
5,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1855,287.0802395390144
6,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1856,287.11976499914704
7,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1857,287.14247425400373
8,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1858,287.03460311713206
9,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1859,287.0150438537034
10,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1860,287.00029232156083
11,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1861,286.8228866509591
12,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1862,286.74210361828256
13,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1863,286.73518496710363
14,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1864,286.8398559380233
15,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1865,286.93551575274455
16,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1866,287.06187746381937
17,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1867,286.84769037161067
18,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1868,286.89745986541584
19,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1869,287.1101398661894
20,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1870,287.16247730620665
21,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1871,287.1691377462182
22,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1872,287.113200888736
23,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1873,287.2593371980664
24,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1874,287.28314268230844
25,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1875,287.02383606114705
26,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1876,287.13757834385575
27,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1877,287.13515799781777
28,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1878,287.0083088583237
29,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1879,287.0839843391997
30,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1880,287.13907337251624
31,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1881,287.08176470189545
32,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1882,287.1042165399017
33,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1883,287.2025962647012
34,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1884,286.8098179043455
35,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1885,286.76192857491264
36,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1886,286.89260240831044
37,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1887,286.89888949294425
38,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1888,287.0376986785574
39,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1889,287.1535563536749
40,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1890,287.0826769536617
41,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1891,286.8930158465132
42,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1892,287.1597350906252
43,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1893,287.1922134790066
44,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1894,287.15022424834905
45,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1895,286.99167194426786
46,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1896,286.93885609483215
47,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1897,287.08816982465856
48,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1898,287.2500975836227
49,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1899,287.23050450118694
50,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1900,287.28154473377316
51,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1901,287.2439372186415
52,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1902,287.20184291486004
53,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1903,286.9902020971431
54,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1904,287.15010220474454
55,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1905,287.2510380735902
56,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1906,287.2536052911133
57,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1907,287.15127478744506
58,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1908,287.0564276636411
59,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1909,287.17255307615034
60,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1910,287.2690754544634
61,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1911,287.23556023482917
62,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1912,286.94669123134514
63,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1913,287.0686095374244
64,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1914,287.1729366029183
65,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1915,287.3284656157383
66,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1916,287.2275313316675
67,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1917,287.0921247060608
68,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1918,287.3167451872194
69,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1919,287.2865965442782
70,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1920,287.278738284614
71,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1921,287.3140433039018
72,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1922,287.4056006248177
73,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1923,287.2920304420954
74,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1924,287.2579401970429
75,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1925,287.2565067197412
76,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1926,287.11662088269424
77,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1927,287.17017802584195
78,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1928,287.3070411394897
79,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1929,287.25877619724014
80,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1930,287.3262911069074
81,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1931,287.26703234002025
82,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1932,287.15446009150423
83,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1933,287.2990536887993
84,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1934,287.18401223829596
85,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1935,287.12167997779375
86,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1936,287.1580143178049
87,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1937,287.17233881445674
88,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1938,287.0619564837777
89,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1939,287.0715946824061
90,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1940,287.1904025179886
91,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1941,287.1974336431302
92,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1942,287.30012721034706
93,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1943,287.2254956089383
94,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1944,287.2730667313613
95,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1945,287.11350857737506
96,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1946,287.19760650714505
97,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1947,287.2930542034295
98,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1948,287.29935435619683
99,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1949,287.31368447077784
100,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1950,287.3761485771841
101,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1951,287.38984692088735
102,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1952,287.33830443726276
103,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1953,287.24334912413093
104,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1954,287.21842056258333
105,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1955,287.074043654282
106,tas,historical,K,mon,r4i1p1f1,MPI-ESM1-2-HR,1956,287.13782673666793
