,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2015,288.3715302018308
1,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2016,288.19608097205656
2,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2017,288.19049845645156
3,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2018,288.2420842713241
4,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2019,288.1597050006285
5,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2020,288.1893702108925
6,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2021,288.25790062797483
7,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2022,288.3501051867877
8,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2023,288.34492011519245
9,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2024,288.1844418316864
10,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2025,288.133031246072
11,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2026,288.30066560850565
12,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2027,288.25299392494054
13,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2028,288.32156189972966
14,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2029,288.2663762075628
15,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2030,288.29316617944414
16,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2031,288.40356027712465
17,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2032,288.41287208782484
18,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2033,288.3963343886915
19,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2034,288.4484448896499
20,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2035,288.56233784068263
21,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2036,288.53444483407026
22,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2037,288.4980388113775
23,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2038,288.5478025919202
24,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2039,288.7508828903029
25,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2040,288.84015887496497
26,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2041,288.73468537095647
27,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2042,288.77643898358514
28,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2043,288.7953478219797
29,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2044,288.78922488556714
30,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2045,288.81322392469775
31,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2046,288.91568274824414
32,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2047,288.9549405379681
33,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2048,288.8682259856287
34,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2049,288.9864173029737
35,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2050,289.1267140684883
36,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2051,289.0337344433185
37,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2052,289.0270606349056
38,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2053,289.0630633098553
39,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2054,289.0909898268747
40,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2055,289.1947274261949
41,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2056,289.1581196759666
42,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2057,289.2352231215273
43,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2058,289.17532972458446
44,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2059,289.23097754788836
45,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2060,289.25237835140007
46,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2061,289.43740871676056
47,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2062,289.48681455736465
48,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2063,289.32197266611587
49,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2064,289.3335675329
50,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2065,289.4263660265659
51,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2066,289.7282287854114
52,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2067,289.70791010700844
53,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2068,289.7289769424344
54,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2069,289.663403893687
55,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2070,289.56294894259383
56,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2071,289.50301628480736
57,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2072,289.6465025719251
58,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2073,289.8112253664183
59,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2074,289.8035594417062
60,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2075,289.7976606377571
61,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2076,289.99509201825055
62,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2077,290.00653649043704
63,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2078,289.9631615211904
64,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2079,290.05879332583027
65,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2080,290.1119615180278
66,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2081,290.0971998785564
67,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2082,290.0106175296814
68,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2083,289.998827159907
69,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2084,290.08793129649706
70,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2085,290.22992175345416
71,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2086,290.303082295734
72,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2087,290.3039272855726
73,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2088,290.2526622040071
74,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2089,290.3215483924242
75,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2090,290.21504628482637
76,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2091,290.36139128904176
77,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2092,290.43480029551085
78,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2093,290.4885473754973
79,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2094,290.6174974786812
80,tas,ssp370,K,mon,r7i1p1f1,MPI-ESM1-2-HR,2095,290.82333145168917
