,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp245,K,mon,r2i1p1f1,NESM3,2015,288.21965895224383
1,tas,ssp245,K,mon,r2i1p1f1,NESM3,2016,288.1621050865111
2,tas,ssp245,K,mon,r2i1p1f1,NESM3,2017,288.03225125141836
3,tas,ssp245,K,mon,r2i1p1f1,NESM3,2018,288.1239517918345
4,tas,ssp245,K,mon,r2i1p1f1,NESM3,2019,288.28148724683086
5,tas,ssp245,K,mon,r2i1p1f1,NESM3,2020,288.06640520653616
6,tas,ssp245,K,mon,r2i1p1f1,NESM3,2021,288.3015972513198
7,tas,ssp245,K,mon,r2i1p1f1,NESM3,2022,288.2507545301368
8,tas,ssp245,K,mon,r2i1p1f1,NESM3,2023,288.2419422451199
9,tas,ssp245,K,mon,r2i1p1f1,NESM3,2024,288.3963771765275
10,tas,ssp245,K,mon,r2i1p1f1,NESM3,2025,288.32955653218283
11,tas,ssp245,K,mon,r2i1p1f1,NESM3,2026,288.4121374588956
12,tas,ssp245,K,mon,r2i1p1f1,NESM3,2027,288.5528376052672
13,tas,ssp245,K,mon,r2i1p1f1,NESM3,2028,288.4563799950043
14,tas,ssp245,K,mon,r2i1p1f1,NESM3,2029,288.33671878902453
15,tas,ssp245,K,mon,r2i1p1f1,NESM3,2030,288.35542026938873
16,tas,ssp245,K,mon,r2i1p1f1,NESM3,2031,288.5211218141056
17,tas,ssp245,K,mon,r2i1p1f1,NESM3,2032,288.6416824925896
18,tas,ssp245,K,mon,r2i1p1f1,NESM3,2033,288.77017199608815
19,tas,ssp245,K,mon,r2i1p1f1,NESM3,2034,288.708249326153
20,tas,ssp245,K,mon,r2i1p1f1,NESM3,2035,288.7917892827898
21,tas,ssp245,K,mon,r2i1p1f1,NESM3,2036,288.6395725484417
22,tas,ssp245,K,mon,r2i1p1f1,NESM3,2037,288.8152175638754
23,tas,ssp245,K,mon,r2i1p1f1,NESM3,2038,288.7322437634641
24,tas,ssp245,K,mon,r2i1p1f1,NESM3,2039,288.60828049523553
25,tas,ssp245,K,mon,r2i1p1f1,NESM3,2040,288.7799058465239
26,tas,ssp245,K,mon,r2i1p1f1,NESM3,2041,288.8148180338899
27,tas,ssp245,K,mon,r2i1p1f1,NESM3,2042,288.9350165605076
28,tas,ssp245,K,mon,r2i1p1f1,NESM3,2043,289.08921970900525
29,tas,ssp245,K,mon,r2i1p1f1,NESM3,2044,288.81215614948997
30,tas,ssp245,K,mon,r2i1p1f1,NESM3,2045,288.8210228627486
31,tas,ssp245,K,mon,r2i1p1f1,NESM3,2046,288.7475591228934
32,tas,ssp245,K,mon,r2i1p1f1,NESM3,2047,288.67856547301693
33,tas,ssp245,K,mon,r2i1p1f1,NESM3,2048,288.8402726907557
34,tas,ssp245,K,mon,r2i1p1f1,NESM3,2049,288.9834764262313
35,tas,ssp245,K,mon,r2i1p1f1,NESM3,2050,289.0184650562455
36,tas,ssp245,K,mon,r2i1p1f1,NESM3,2051,288.9019678491915
37,tas,ssp245,K,mon,r2i1p1f1,NESM3,2052,289.17019392463175
38,tas,ssp245,K,mon,r2i1p1f1,NESM3,2053,289.1134435158567
