,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2015,287.47673542817
1,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2016,287.400179021437
2,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2017,287.58005963831414
3,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2018,287.5937847316507
4,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2019,287.66882268114665
5,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2020,287.793402670057
6,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2021,287.8044900520148
7,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2022,287.8188754420477
8,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2023,287.851737129045
9,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2024,287.890388535166
10,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2025,288.0079576004935
11,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2026,288.10756010625636
12,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2027,288.1107483292077
13,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2028,288.3108524259277
14,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2029,288.36704531111644
15,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2030,288.29889390715385
16,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2031,288.52815012545875
17,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2032,288.6360218219325
18,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2033,288.5295564735738
19,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2034,288.4335689163364
20,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2035,288.4573083441676
21,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2036,288.72978215320956
22,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2037,288.9941327206935
23,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2038,288.78318279126535
24,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2039,288.76722474429323
25,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2040,288.9825707927849
26,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2041,289.18606046702774
27,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2042,289.1994871479677
28,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2043,289.23049931801046
29,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2044,289.3505920708451
30,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2045,289.44123888324253
31,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2046,289.4535414660917
32,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2047,289.61023195647175
33,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2048,289.6328401864129
34,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2049,289.5856134721291
35,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2050,289.72159470617584
36,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2051,289.86106154880866
37,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2052,289.9153115699608
38,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2053,289.9712719696963
39,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2054,289.954978128526
40,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2055,290.2193558909859
41,tas,ssp585,K,mon,r2i1p1f2,UKESM1-0-LL,2056,290.19898623138545
