,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2015,289.49478
1,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2016,289.38455
2,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2017,289.31595
3,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2018,289.29593
4,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2019,289.51898
5,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2020,289.45663
6,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2021,289.7337
7,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2022,289.638
8,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2023,289.45657
9,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2024,289.82394
10,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2025,289.9927
11,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2026,289.6023
12,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2027,289.6253
13,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2028,289.85992
14,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2029,290.25027
15,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2030,289.95456
16,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2031,289.97043
17,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2032,290.06003
18,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2033,290.40323
19,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2034,290.12527
20,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2035,290.01462
21,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2036,290.4565
22,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2037,290.43793
23,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2038,290.60355
24,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2039,290.72183
25,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2040,290.93802
26,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2041,290.64273
27,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2042,290.461
28,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2043,290.58026
29,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2044,290.48886
30,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2045,290.6317
31,tas,ssp126,K,mon,r32i1p1f1,ACCESS-ESM1-5,2046,290.61545
