,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1850,288.08475
1,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1851,288.27075
2,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1852,288.26532
3,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1853,287.86072
4,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1854,288.10675
5,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1855,288.25732
6,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1856,288.18124
7,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1857,288.17923
8,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1858,288.2991
9,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1859,288.35773
10,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1860,288.32523
11,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1861,288.09866
12,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1862,288.06714
13,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1863,288.30905
14,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1864,288.00143
15,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1865,288.00537
16,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1866,288.14218
17,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1867,288.0526
18,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1868,288.02518
19,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1869,288.08328
20,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1870,287.927
21,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1871,288.2567
22,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1872,288.24826
23,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1873,288.1015
24,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1874,288.37332
25,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1875,288.23618
26,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1876,288.22702
27,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1877,288.40204
28,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1878,288.3091
29,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1879,288.35504
30,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1880,288.51138
31,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1881,288.09854
32,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1882,288.0237
33,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1883,288.10934
34,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1884,287.78513
35,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1885,287.94485
36,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1886,287.98135
37,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1887,287.97644
38,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1888,288.05777
39,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1889,288.18533
40,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1890,287.9578
41,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1891,287.95145
42,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1892,287.92215
43,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1893,288.0386
44,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1894,288.0901
45,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1895,288.13278
46,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1896,287.89816
47,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1897,288.0044
48,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1898,288.26343
49,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1899,288.25192
50,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1900,288.43228
51,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1901,288.39938
52,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1902,288.1147
53,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1903,288.08835
54,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1904,288.28397
55,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1905,288.15872
56,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1906,288.4306
57,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1907,288.2522
58,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1908,288.2161
59,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1909,288.20642
60,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1910,288.1835
61,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1911,288.18155
62,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1912,288.2394
63,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1913,287.8905
64,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1914,287.82895
65,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1915,288.04123
66,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1916,288.10712
67,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1917,288.1908
68,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1918,288.2266
69,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1919,288.27463
70,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1920,288.41904
71,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1921,288.5084
72,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1922,288.43173
73,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1923,288.28116
74,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1924,288.24686
75,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1925,288.3869
76,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1926,288.28384
77,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1927,288.2654
78,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1928,288.52
79,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1929,288.01773
80,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1930,288.26077
81,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1931,288.3101
82,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1932,288.3618
83,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1933,288.0809
84,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1934,288.20572
85,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1935,288.34644
86,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1936,288.11157
87,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1937,288.33286
88,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1938,288.3829
89,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1939,288.25406
90,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1940,288.0912
91,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1941,288.33807
92,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1942,288.52203
93,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1943,288.37704
94,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1944,288.34305
95,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1945,288.2539
96,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1946,288.0663
97,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1947,288.2992
98,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1948,288.5022
99,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1949,288.2538
100,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1950,288.17947
101,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1951,288.22476
102,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1952,288.1929
103,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1953,288.29678
104,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1954,288.06998
105,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1955,288.25876
106,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1956,288.0626
107,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1957,288.14444
108,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1958,288.38882
109,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1959,288.24506
110,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1960,288.23175
111,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1961,288.46103
112,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1962,288.45895
113,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1963,288.04922
114,tas,historical,K,mon,r5i1p1f1,ACCESS-ESM1-5,1964,287.9232
