,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r7i1p1f1,CESM2,1850,288.35895
1,tas,historical,K,mon,r7i1p1f1,CESM2,1851,288.02713
2,tas,historical,K,mon,r7i1p1f1,CESM2,1852,288.24396
3,tas,historical,K,mon,r7i1p1f1,CESM2,1853,288.2551
4,tas,historical,K,mon,r7i1p1f1,CESM2,1854,288.50092
5,tas,historical,K,mon,r7i1p1f1,CESM2,1855,288.45255
6,tas,historical,K,mon,r7i1p1f1,CESM2,1856,288.30484
7,tas,historical,K,mon,r7i1p1f1,CESM2,1857,288.51242
8,tas,historical,K,mon,r7i1p1f1,CESM2,1858,288.8461
9,tas,historical,K,mon,r7i1p1f1,CESM2,1859,288.44882
10,tas,historical,K,mon,r7i1p1f1,CESM2,1860,288.25516
11,tas,historical,K,mon,r7i1p1f1,CESM2,1861,288.08923
12,tas,historical,K,mon,r7i1p1f1,CESM2,1862,288.2549
13,tas,historical,K,mon,r7i1p1f1,CESM2,1863,288.41403
14,tas,historical,K,mon,r7i1p1f1,CESM2,1864,287.98654
15,tas,historical,K,mon,r7i1p1f1,CESM2,1865,288.10205
16,tas,historical,K,mon,r7i1p1f1,CESM2,1866,288.33316
17,tas,historical,K,mon,r7i1p1f1,CESM2,1867,288.25046
18,tas,historical,K,mon,r7i1p1f1,CESM2,1868,288.5884
19,tas,historical,K,mon,r7i1p1f1,CESM2,1869,288.60898
20,tas,historical,K,mon,r7i1p1f1,CESM2,1870,288.07156
21,tas,historical,K,mon,r7i1p1f1,CESM2,1871,288.2535
22,tas,historical,K,mon,r7i1p1f1,CESM2,1872,288.35593
23,tas,historical,K,mon,r7i1p1f1,CESM2,1873,288.2976
24,tas,historical,K,mon,r7i1p1f1,CESM2,1874,288.0635
25,tas,historical,K,mon,r7i1p1f1,CESM2,1875,288.64548
26,tas,historical,K,mon,r7i1p1f1,CESM2,1876,288.86444
27,tas,historical,K,mon,r7i1p1f1,CESM2,1877,288.3574
28,tas,historical,K,mon,r7i1p1f1,CESM2,1878,288.19052
29,tas,historical,K,mon,r7i1p1f1,CESM2,1879,288.54385
30,tas,historical,K,mon,r7i1p1f1,CESM2,1880,288.26938
31,tas,historical,K,mon,r7i1p1f1,CESM2,1881,288.44266
32,tas,historical,K,mon,r7i1p1f1,CESM2,1882,288.35736
33,tas,historical,K,mon,r7i1p1f1,CESM2,1883,288.49432
34,tas,historical,K,mon,r7i1p1f1,CESM2,1884,288.25842
35,tas,historical,K,mon,r7i1p1f1,CESM2,1885,288.0584
36,tas,historical,K,mon,r7i1p1f1,CESM2,1886,288.07828
37,tas,historical,K,mon,r7i1p1f1,CESM2,1887,287.9703
38,tas,historical,K,mon,r7i1p1f1,CESM2,1888,288.35498
39,tas,historical,K,mon,r7i1p1f1,CESM2,1889,287.9601
40,tas,historical,K,mon,r7i1p1f1,CESM2,1890,288.2949
41,tas,historical,K,mon,r7i1p1f1,CESM2,1891,288.37378
42,tas,historical,K,mon,r7i1p1f1,CESM2,1892,288.57452
43,tas,historical,K,mon,r7i1p1f1,CESM2,1893,288.52243
44,tas,historical,K,mon,r7i1p1f1,CESM2,1894,288.19046
45,tas,historical,K,mon,r7i1p1f1,CESM2,1895,288.4716
46,tas,historical,K,mon,r7i1p1f1,CESM2,1896,288.63007
