,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1850,286.33423
1,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1851,286.33664
2,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1852,286.22983
3,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1853,286.354
4,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1854,286.40887
5,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1855,286.15134
6,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1856,286.30597
7,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1857,286.27725
8,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1858,286.38562
9,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1859,286.4011
10,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1860,285.85745
11,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1861,286.08054
12,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1862,286.4642
13,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1863,286.10056
14,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1864,286.34448
15,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1865,286.43933
16,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1866,285.86362
17,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1867,286.01355
18,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1868,286.10947
19,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1869,286.21826
20,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1870,286.40424
21,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1871,286.39246
22,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1872,286.2225
23,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1873,286.43127
24,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1874,286.32465
25,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1875,286.24075
26,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1876,286.57626
27,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1877,286.6868
28,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1878,286.46216
29,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1879,286.2861
30,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1880,286.08322
31,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1881,286.53323
32,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1882,286.44977
33,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1883,286.3704
34,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1884,286.09528
35,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1885,286.10733
36,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1886,286.38058
37,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1887,286.47137
38,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1888,286.35913
39,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1889,286.58646
40,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1890,286.17996
41,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1891,286.4736
42,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1892,286.23416
43,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1893,286.60812
44,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1894,286.38712
45,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1895,286.67896
46,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1896,286.8727
47,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1897,286.40378
48,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1898,286.4766
49,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1899,286.3729
50,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1900,286.34576
51,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1901,286.40817
52,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1902,286.4125
53,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1903,286.3707
54,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1904,286.3948
55,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1905,286.49924
56,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1906,286.60947
57,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1907,286.69022
58,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1908,286.68185
59,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1909,286.50607
60,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1910,286.55875
61,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1911,286.58875
62,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1912,286.9442
63,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1913,286.55258
64,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1914,286.55286
65,tas,historical,K,mon,r29i1p1f2,CNRM-CM6-1,1915,286.48123
