,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2015,287.78683
1,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2016,287.89603
2,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2017,287.3566
3,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2018,288.05396
4,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2019,287.7781
5,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2020,287.91864
6,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2021,287.75085
7,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2022,287.73563
8,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2023,287.99133
9,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2024,287.93845
10,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2025,287.78433
11,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2026,287.85648
12,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2027,288.04526
13,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2028,288.15274
14,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2029,287.5977
15,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2030,288.21942
16,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2031,288.15924
17,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2032,288.09448
18,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2033,288.12564
19,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2034,288.3295
20,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2035,288.4557
21,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2036,288.28342
22,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2037,288.58337
23,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2038,288.71866
24,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2039,288.327
25,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2040,288.29675
26,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2041,288.37497
27,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2042,288.37125
28,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2043,288.5538
29,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2044,288.96237
30,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2045,288.9321
31,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2046,288.83334
32,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2047,288.9157
33,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2048,288.89026
34,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2049,288.8697
35,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2050,288.92133
36,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2051,289.39996
37,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2052,289.3141
38,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2053,289.07602
39,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2054,289.35556
40,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2055,289.44656
41,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2056,289.41647
42,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2057,289.3257
43,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2058,289.87418
44,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2059,289.46082
45,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2060,289.75327
46,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2061,289.58426
47,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2062,289.71744
48,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2063,289.81653
49,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2064,289.51254
50,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2065,289.80527
51,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2066,290.2952
52,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2067,290.11197
53,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2068,289.9973
54,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2069,290.10522
55,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2070,290.34534
56,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2071,290.38156
57,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2072,290.25256
58,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2073,290.47015
59,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2074,290.93008
60,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2075,290.6171
61,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2076,290.50052
62,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2077,290.83725
63,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2078,290.8291
64,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2079,290.92496
65,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2080,291.09915
66,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2081,290.96066
67,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2082,291.37314
68,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2083,291.5454
69,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2084,291.1354
70,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2085,291.45337
71,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2086,291.61496
72,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2087,291.31833
73,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2088,291.4368
74,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2089,291.82382
75,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2090,291.59946
76,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2091,291.95117
77,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2092,291.97244
78,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2093,292.03052
79,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2094,292.22623
80,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2095,292.27206
81,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2096,292.21606
82,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2097,292.36838
83,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2098,292.43497
84,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2099,292.51227
85,tas,ssp370,K,mon,r3i1p1f2,CNRM-CM6-1,2100,292.3263
