,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r12i1p2f1,CanESM5,1850,286.52942
1,tas,historical,K,mon,r12i1p2f1,CanESM5,1851,286.50378
2,tas,historical,K,mon,r12i1p2f1,CanESM5,1852,286.9955
3,tas,historical,K,mon,r12i1p2f1,CanESM5,1853,286.63107
4,tas,historical,K,mon,r12i1p2f1,CanESM5,1854,286.9112
5,tas,historical,K,mon,r12i1p2f1,CanESM5,1855,287.19525
6,tas,historical,K,mon,r12i1p2f1,CanESM5,1856,286.99072
7,tas,historical,K,mon,r12i1p2f1,CanESM5,1857,286.83594
8,tas,historical,K,mon,r12i1p2f1,CanESM5,1858,286.67947
9,tas,historical,K,mon,r12i1p2f1,CanESM5,1859,286.71628
10,tas,historical,K,mon,r12i1p2f1,CanESM5,1860,286.6766
11,tas,historical,K,mon,r12i1p2f1,CanESM5,1861,286.8447
12,tas,historical,K,mon,r12i1p2f1,CanESM5,1862,286.80066
13,tas,historical,K,mon,r12i1p2f1,CanESM5,1863,286.95193
14,tas,historical,K,mon,r12i1p2f1,CanESM5,1864,286.73267
15,tas,historical,K,mon,r12i1p2f1,CanESM5,1865,287.01614
16,tas,historical,K,mon,r12i1p2f1,CanESM5,1866,286.71524
17,tas,historical,K,mon,r12i1p2f1,CanESM5,1867,286.80917
18,tas,historical,K,mon,r12i1p2f1,CanESM5,1868,286.8382
19,tas,historical,K,mon,r12i1p2f1,CanESM5,1869,286.56146
20,tas,historical,K,mon,r12i1p2f1,CanESM5,1870,286.82562
21,tas,historical,K,mon,r12i1p2f1,CanESM5,1871,286.68643
22,tas,historical,K,mon,r12i1p2f1,CanESM5,1872,286.4797
23,tas,historical,K,mon,r12i1p2f1,CanESM5,1873,286.92093
24,tas,historical,K,mon,r12i1p2f1,CanESM5,1874,287.27423
25,tas,historical,K,mon,r12i1p2f1,CanESM5,1875,286.79208
26,tas,historical,K,mon,r12i1p2f1,CanESM5,1876,286.8955
27,tas,historical,K,mon,r12i1p2f1,CanESM5,1877,287.103
28,tas,historical,K,mon,r12i1p2f1,CanESM5,1878,286.7288
29,tas,historical,K,mon,r12i1p2f1,CanESM5,1879,286.88913
30,tas,historical,K,mon,r12i1p2f1,CanESM5,1880,286.74228
31,tas,historical,K,mon,r12i1p2f1,CanESM5,1881,286.58163
32,tas,historical,K,mon,r12i1p2f1,CanESM5,1882,286.7151
33,tas,historical,K,mon,r12i1p2f1,CanESM5,1883,286.9888
34,tas,historical,K,mon,r12i1p2f1,CanESM5,1884,286.41617
35,tas,historical,K,mon,r12i1p2f1,CanESM5,1885,286.3756
36,tas,historical,K,mon,r12i1p2f1,CanESM5,1886,286.1195
37,tas,historical,K,mon,r12i1p2f1,CanESM5,1887,286.48013
38,tas,historical,K,mon,r12i1p2f1,CanESM5,1888,286.45218
39,tas,historical,K,mon,r12i1p2f1,CanESM5,1889,286.63135
40,tas,historical,K,mon,r12i1p2f1,CanESM5,1890,286.79163
41,tas,historical,K,mon,r12i1p2f1,CanESM5,1891,286.37018
42,tas,historical,K,mon,r12i1p2f1,CanESM5,1892,286.44492
43,tas,historical,K,mon,r12i1p2f1,CanESM5,1893,286.6406
44,tas,historical,K,mon,r12i1p2f1,CanESM5,1894,287.02707
45,tas,historical,K,mon,r12i1p2f1,CanESM5,1895,286.67657
46,tas,historical,K,mon,r12i1p2f1,CanESM5,1896,286.67807
47,tas,historical,K,mon,r12i1p2f1,CanESM5,1897,286.5908
48,tas,historical,K,mon,r12i1p2f1,CanESM5,1898,286.86026
49,tas,historical,K,mon,r12i1p2f1,CanESM5,1899,287.05325
50,tas,historical,K,mon,r12i1p2f1,CanESM5,1900,286.61346
51,tas,historical,K,mon,r12i1p2f1,CanESM5,1901,286.77716
52,tas,historical,K,mon,r12i1p2f1,CanESM5,1902,286.86716
53,tas,historical,K,mon,r12i1p2f1,CanESM5,1903,286.39493
54,tas,historical,K,mon,r12i1p2f1,CanESM5,1904,286.6571
55,tas,historical,K,mon,r12i1p2f1,CanESM5,1905,286.74426
56,tas,historical,K,mon,r12i1p2f1,CanESM5,1906,286.82187
57,tas,historical,K,mon,r12i1p2f1,CanESM5,1907,286.81897
58,tas,historical,K,mon,r12i1p2f1,CanESM5,1908,286.73248
59,tas,historical,K,mon,r12i1p2f1,CanESM5,1909,286.9443
60,tas,historical,K,mon,r12i1p2f1,CanESM5,1910,286.93817
61,tas,historical,K,mon,r12i1p2f1,CanESM5,1911,286.9005
62,tas,historical,K,mon,r12i1p2f1,CanESM5,1912,286.5363
63,tas,historical,K,mon,r12i1p2f1,CanESM5,1913,286.405
64,tas,historical,K,mon,r12i1p2f1,CanESM5,1914,286.666
65,tas,historical,K,mon,r12i1p2f1,CanESM5,1915,286.97458
66,tas,historical,K,mon,r12i1p2f1,CanESM5,1916,286.81842
67,tas,historical,K,mon,r12i1p2f1,CanESM5,1917,286.78073
68,tas,historical,K,mon,r12i1p2f1,CanESM5,1918,286.93222
69,tas,historical,K,mon,r12i1p2f1,CanESM5,1919,286.7042
70,tas,historical,K,mon,r12i1p2f1,CanESM5,1920,286.63962
71,tas,historical,K,mon,r12i1p2f1,CanESM5,1921,286.94324
72,tas,historical,K,mon,r12i1p2f1,CanESM5,1922,286.6378
73,tas,historical,K,mon,r12i1p2f1,CanESM5,1923,286.92203
74,tas,historical,K,mon,r12i1p2f1,CanESM5,1924,287.1144
75,tas,historical,K,mon,r12i1p2f1,CanESM5,1925,287.01794
76,tas,historical,K,mon,r12i1p2f1,CanESM5,1926,287.017
77,tas,historical,K,mon,r12i1p2f1,CanESM5,1927,287.05457
78,tas,historical,K,mon,r12i1p2f1,CanESM5,1928,286.86035
79,tas,historical,K,mon,r12i1p2f1,CanESM5,1929,286.82938
80,tas,historical,K,mon,r12i1p2f1,CanESM5,1930,286.68747
81,tas,historical,K,mon,r12i1p2f1,CanESM5,1931,287.12143
82,tas,historical,K,mon,r12i1p2f1,CanESM5,1932,287.00204
83,tas,historical,K,mon,r12i1p2f1,CanESM5,1933,287.2415
84,tas,historical,K,mon,r12i1p2f1,CanESM5,1934,287.05618
85,tas,historical,K,mon,r12i1p2f1,CanESM5,1935,287.10153
86,tas,historical,K,mon,r12i1p2f1,CanESM5,1936,287.06305
87,tas,historical,K,mon,r12i1p2f1,CanESM5,1937,287.04694
88,tas,historical,K,mon,r12i1p2f1,CanESM5,1938,287.3622
89,tas,historical,K,mon,r12i1p2f1,CanESM5,1939,287.02588
90,tas,historical,K,mon,r12i1p2f1,CanESM5,1940,287.2664
91,tas,historical,K,mon,r12i1p2f1,CanESM5,1941,287.22073
92,tas,historical,K,mon,r12i1p2f1,CanESM5,1942,286.85324
93,tas,historical,K,mon,r12i1p2f1,CanESM5,1943,286.86874
94,tas,historical,K,mon,r12i1p2f1,CanESM5,1944,287.0676
95,tas,historical,K,mon,r12i1p2f1,CanESM5,1945,286.8323
96,tas,historical,K,mon,r12i1p2f1,CanESM5,1946,286.91238
97,tas,historical,K,mon,r12i1p2f1,CanESM5,1947,287.15253
98,tas,historical,K,mon,r12i1p2f1,CanESM5,1948,287.14847
99,tas,historical,K,mon,r12i1p2f1,CanESM5,1949,287.15652
100,tas,historical,K,mon,r12i1p2f1,CanESM5,1950,287.26413
101,tas,historical,K,mon,r12i1p2f1,CanESM5,1951,287.20554
102,tas,historical,K,mon,r12i1p2f1,CanESM5,1952,287.0762
103,tas,historical,K,mon,r12i1p2f1,CanESM5,1953,287.03372
104,tas,historical,K,mon,r12i1p2f1,CanESM5,1954,287.22318
105,tas,historical,K,mon,r12i1p2f1,CanESM5,1955,286.9532
106,tas,historical,K,mon,r12i1p2f1,CanESM5,1956,287.165
107,tas,historical,K,mon,r12i1p2f1,CanESM5,1957,287.07028
108,tas,historical,K,mon,r12i1p2f1,CanESM5,1958,286.92746
109,tas,historical,K,mon,r12i1p2f1,CanESM5,1959,286.9952
110,tas,historical,K,mon,r12i1p2f1,CanESM5,1960,286.85226
111,tas,historical,K,mon,r12i1p2f1,CanESM5,1961,287.17615
112,tas,historical,K,mon,r12i1p2f1,CanESM5,1962,287.30676
113,tas,historical,K,mon,r12i1p2f1,CanESM5,1963,287.01193
114,tas,historical,K,mon,r12i1p2f1,CanESM5,1964,287.09872
115,tas,historical,K,mon,r12i1p2f1,CanESM5,1965,286.9382
116,tas,historical,K,mon,r12i1p2f1,CanESM5,1966,287.03256
117,tas,historical,K,mon,r12i1p2f1,CanESM5,1967,287.03137
118,tas,historical,K,mon,r12i1p2f1,CanESM5,1968,287.05435
119,tas,historical,K,mon,r12i1p2f1,CanESM5,1969,286.88992
120,tas,historical,K,mon,r12i1p2f1,CanESM5,1970,287.24393
121,tas,historical,K,mon,r12i1p2f1,CanESM5,1971,287.30243
122,tas,historical,K,mon,r12i1p2f1,CanESM5,1972,287.08008
123,tas,historical,K,mon,r12i1p2f1,CanESM5,1973,287.01193
124,tas,historical,K,mon,r12i1p2f1,CanESM5,1974,287.34125
125,tas,historical,K,mon,r12i1p2f1,CanESM5,1975,286.94684
126,tas,historical,K,mon,r12i1p2f1,CanESM5,1976,286.70605
127,tas,historical,K,mon,r12i1p2f1,CanESM5,1977,287.27826
128,tas,historical,K,mon,r12i1p2f1,CanESM5,1978,287.26944
129,tas,historical,K,mon,r12i1p2f1,CanESM5,1979,287.33066
130,tas,historical,K,mon,r12i1p2f1,CanESM5,1980,287.61505
131,tas,historical,K,mon,r12i1p2f1,CanESM5,1981,287.47757
132,tas,historical,K,mon,r12i1p2f1,CanESM5,1982,287.46033
133,tas,historical,K,mon,r12i1p2f1,CanESM5,1983,287.07663
134,tas,historical,K,mon,r12i1p2f1,CanESM5,1984,286.93152
135,tas,historical,K,mon,r12i1p2f1,CanESM5,1985,287.15634
136,tas,historical,K,mon,r12i1p2f1,CanESM5,1986,287.2745
137,tas,historical,K,mon,r12i1p2f1,CanESM5,1987,287.4819
138,tas,historical,K,mon,r12i1p2f1,CanESM5,1988,287.76434
139,tas,historical,K,mon,r12i1p2f1,CanESM5,1989,287.27264
140,tas,historical,K,mon,r12i1p2f1,CanESM5,1990,287.55798
141,tas,historical,K,mon,r12i1p2f1,CanESM5,1991,287.60776
142,tas,historical,K,mon,r12i1p2f1,CanESM5,1992,287.1838
143,tas,historical,K,mon,r12i1p2f1,CanESM5,1993,287.51016
144,tas,historical,K,mon,r12i1p2f1,CanESM5,1994,287.61026
145,tas,historical,K,mon,r12i1p2f1,CanESM5,1995,287.76212
146,tas,historical,K,mon,r12i1p2f1,CanESM5,1996,287.9777
147,tas,historical,K,mon,r12i1p2f1,CanESM5,1997,287.64706
148,tas,historical,K,mon,r12i1p2f1,CanESM5,1998,288.16443
149,tas,historical,K,mon,r12i1p2f1,CanESM5,1999,288.0793
150,tas,historical,K,mon,r12i1p2f1,CanESM5,2000,288.13654
151,tas,historical,K,mon,r12i1p2f1,CanESM5,2001,288.45956
152,tas,historical,K,mon,r12i1p2f1,CanESM5,2002,288.2696
153,tas,historical,K,mon,r12i1p2f1,CanESM5,2003,288.4373
154,tas,historical,K,mon,r12i1p2f1,CanESM5,2004,288.4053
155,tas,historical,K,mon,r12i1p2f1,CanESM5,2005,288.45917
156,tas,historical,K,mon,r12i1p2f1,CanESM5,2006,288.6239
157,tas,historical,K,mon,r12i1p2f1,CanESM5,2007,288.5137
158,tas,historical,K,mon,r12i1p2f1,CanESM5,2008,288.37735
159,tas,historical,K,mon,r12i1p2f1,CanESM5,2009,288.62708
160,tas,historical,K,mon,r12i1p2f1,CanESM5,2010,288.57394
161,tas,historical,K,mon,r12i1p2f1,CanESM5,2011,288.68692
162,tas,historical,K,mon,r12i1p2f1,CanESM5,2012,288.94193
163,tas,historical,K,mon,r12i1p2f1,CanESM5,2013,288.61926
164,tas,historical,K,mon,r12i1p2f1,CanESM5,2014,288.6728
