,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2015,289.1309
1,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2016,289.46558
2,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2017,289.31046
3,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2018,289.03043
4,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2019,289.08603
5,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2020,289.21204
6,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2021,289.37955
7,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2022,289.3535
8,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2023,289.65836
9,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2024,289.54697
10,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2025,289.4175
11,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2026,289.78247
12,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2027,290.04587
13,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2028,289.67474
14,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2029,289.82236
15,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2030,290.0035
16,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2031,290.2205
17,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2032,290.15848
18,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2033,289.9911
19,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2034,289.95096
20,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2035,290.05756
21,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2036,290.21243
22,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2037,290.48462
23,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2038,290.30258
24,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2039,290.50757
25,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2040,290.70856
26,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2041,290.74966
27,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2042,290.80032
28,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2043,290.61447
29,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2044,290.91916
30,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2045,291.0148
31,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2046,291.03143
32,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2047,291.16797
33,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2048,291.38968
34,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2049,291.18604
35,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2050,291.19833
36,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2051,291.37302
37,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2052,291.63712
38,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2053,291.57663
39,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2054,291.64536
40,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2055,291.52008
41,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2056,291.61322
42,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2057,292.1045
43,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2058,291.5938
44,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2059,291.80078
45,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2060,292.48834
46,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2061,292.14682
47,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2062,292.19998
48,tas,ssp370,K,mon,r19i1p1f1,CanESM5,2063,292.14423
