,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2015,287.2587
1,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2016,287.19104
2,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2017,286.8674
3,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2018,287.08786
4,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2019,287.34848
5,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2020,287.64035
6,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2021,287.12405
7,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2022,287.27417
8,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2023,287.85532
9,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2024,287.6592
10,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2025,287.71323
11,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2026,287.85684
12,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2027,288.01813
13,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2028,287.9389
14,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2029,287.82452
15,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2030,288.0017
16,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2031,288.06082
17,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2032,288.36658
18,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2033,287.89694
19,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2034,288.11618
20,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2035,288.35574
21,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2036,288.34366
22,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2037,288.3447
23,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2038,288.70102
24,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2039,288.777
25,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2040,288.66187
26,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2041,288.50348
27,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2042,288.92792
28,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2043,289.1183
29,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2044,288.5717
30,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2045,288.8024
31,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2046,289.27835
32,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2047,289.17236
33,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2048,289.2219
34,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2049,289.27493
35,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2050,289.48672
36,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2051,289.7664
37,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2052,289.7262
38,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2053,289.3841
39,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2054,289.7481
40,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2055,290.16907
41,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2056,289.88635
42,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2057,289.86636
43,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2058,290.0802
44,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2059,290.65417
45,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2060,289.85187
46,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2061,289.9493
47,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2062,290.34726
48,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2063,290.61725
49,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2064,290.34872
50,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2065,290.34967
51,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2066,291.0106
52,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2067,290.25296
53,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2068,290.45615
54,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2069,291.15576
55,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2070,291.139
56,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2071,291.15115
57,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2072,291.19318
58,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2073,290.89456
59,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2074,291.10742
60,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2075,291.7418
61,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2076,291.229
62,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2077,291.3594
63,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2078,291.7745
64,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2079,291.36105
65,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2080,291.36002
66,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2081,291.78687
67,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2082,292.46915
68,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2083,291.8638
69,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2084,292.28116
70,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2085,292.4913
71,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2086,293.03647
72,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2087,292.76486
73,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2088,291.80148
74,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2089,292.03226
75,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2090,292.62704
76,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2091,293.22012
77,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2092,292.83566
78,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2093,292.58484
79,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2094,293.00885
80,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2095,293.70566
81,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2096,293.64297
82,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2097,293.21188
83,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2098,293.17667
84,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2099,294.043
85,tas,ssp585,K,mon,r2i1p1f1,EC-Earth3-Veg-LR,2100,293.8411
