,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1850,286.12466
1,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1851,286.32352
2,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1852,286.2975
3,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1853,286.32925
4,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1854,286.31717
5,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1855,286.23038
6,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1856,286.41446
7,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1857,286.62912
8,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1858,286.28394
9,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1859,286.02634
10,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1860,286.46378
11,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1861,286.3189
12,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1862,286.2955
13,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1863,286.49808
14,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1864,286.063
15,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1865,286.24313
16,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1866,286.1622
17,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1867,286.473
18,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1868,286.39847
19,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1869,286.39236
20,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1870,286.5541
21,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1871,286.72726
22,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1872,286.75723
23,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1873,286.446
24,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1874,286.53995
25,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1875,286.84665
26,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1876,286.74704
27,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1877,286.5926
28,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1878,286.87766
29,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1879,287.1569
30,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1880,287.0408
31,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1881,287.17184
32,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1882,287.01242
33,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1883,286.92194
34,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1884,286.33536
35,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1885,286.61694
36,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1886,286.90814
37,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1887,286.9751
38,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1888,287.1342
39,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1889,286.93283
40,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1890,287.08258
41,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1891,286.90714
42,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1892,286.9625
43,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1893,286.72787
44,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1894,287.01535
45,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1895,286.9912
46,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1896,287.07617
47,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1897,287.33377
48,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1898,287.20023
49,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1899,287.12576
50,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1900,286.87744
51,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1901,286.98547
52,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1902,287.0346
53,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1903,286.713
54,tas,historical,K,mon,r11i1p1f1,EC-Earth3,1904,286.73422
