,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2015,288.35925
1,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2016,288.01306
2,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2017,287.8945
3,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2018,288.05002
4,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2019,288.42972
5,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2020,288.11224
6,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2021,287.91946
7,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2022,288.39462
8,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2023,288.6487
9,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2024,288.62427
10,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2025,289.2048
11,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2026,288.2863
12,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2027,288.49487
13,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2028,288.4339
14,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2029,288.84518
15,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2030,288.72357
16,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2031,288.90305
17,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2032,288.94266
18,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2033,289.11792
19,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2034,288.85995
20,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2035,288.6693
21,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2036,288.90857
22,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2037,288.85416
23,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2038,288.7902
24,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2039,288.83868
25,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2040,289.42294
26,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2041,289.2153
27,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2042,288.82233
28,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2043,288.84048
29,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2044,288.96817
30,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2045,289.36826
31,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2046,288.8876
32,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2047,288.8107
33,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2048,289.08716
34,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2049,289.0834
35,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2050,289.03506
36,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2051,288.84808
37,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2052,289.28818
38,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2053,288.83502
39,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2054,288.76978
40,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2055,288.9513
41,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2056,289.0482
42,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2057,288.8736
43,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2058,289.04025
44,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2059,289.1392
45,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2060,288.72314
46,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2061,288.88214
47,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2062,288.9024
48,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2063,289.2391
49,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2064,289.18253
50,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2065,289.21127
51,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2066,289.0167
52,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2067,289.04865
53,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2068,289.1993
54,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2069,289.0181
55,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2070,289.03342
56,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2071,289.1623
57,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2072,288.71146
58,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2073,288.91965
59,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2074,288.9683
60,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2075,288.81354
61,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2076,288.83835
62,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2077,288.9252
63,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2078,289.07407
64,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2079,289.09158
65,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2080,288.7699
66,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2081,288.90173
67,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2082,288.739
68,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2083,288.91782
69,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2084,288.9733
70,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2085,288.54
71,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2086,288.41013
72,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2087,288.57968
73,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2088,288.7945
74,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2089,288.88126
75,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2090,288.69614
76,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2091,288.95016
77,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2092,289.20334
78,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2093,288.64532
79,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2094,288.91702
80,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2095,289.15543
81,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2096,289.00003
82,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2097,288.85886
83,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2098,288.9677
84,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2099,289.12955
85,tas,ssp119,K,mon,r129i1p1f1,EC-Earth3,2100,288.56992
