,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2015,289.0122
1,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2016,288.61163
2,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2017,288.64365
3,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2018,289.27133
4,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2019,289.0291
5,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2020,289.3597
6,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2021,288.9012
7,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2022,289.65408
8,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2023,289.29407
9,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2024,289.3218
10,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2025,289.65775
11,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2026,289.76144
12,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2027,289.02863
13,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2028,289.21716
14,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2029,289.67526
15,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2030,289.51703
16,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2031,289.48508
17,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2032,289.83707
18,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2033,289.83768
19,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2034,289.92087
20,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2035,289.51328
21,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2036,290.05823
22,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2037,290.47427
23,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2038,290.11096
24,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2039,289.92697
25,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2040,290.2043
26,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2041,290.43915
27,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2042,290.34897
28,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2043,290.33865
29,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2044,290.7689
30,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2045,290.7803
31,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2046,290.4716
32,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2047,290.10757
33,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2048,290.7327
34,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2049,290.9028
35,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2050,291.06625
36,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2051,290.73404
37,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2052,290.82706
38,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2053,291.0706
39,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2054,291.0684
40,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2055,290.79105
41,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2056,291.3132
42,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2057,291.3361
43,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2058,291.1462
44,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2059,291.19153
45,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2060,291.48904
46,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2061,291.0388
47,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2062,291.07822
48,tas,ssp585,K,mon,r2i1p1f2,GISS-E2-1-G,2063,291.64993
