,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1850,286.70575
1,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1851,286.88846
2,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1852,286.74118
3,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1853,286.68765
4,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1854,286.65308
5,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1855,286.8526
6,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1856,286.75064
7,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1857,286.6508
8,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1858,286.66425
9,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1859,286.86328
10,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1860,286.9716
11,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1861,286.91513
12,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1862,286.97934
13,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1863,286.91998
14,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1864,286.9005
15,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1865,286.8264
16,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1866,286.7987
17,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1867,286.64108
18,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1868,286.88535
19,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1869,286.84348
20,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1870,286.79153
21,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1871,286.728
22,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1872,286.79343
23,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1873,286.81296
24,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1874,286.8386
25,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1875,286.81726
26,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1876,286.93033
27,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1877,286.95187
28,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1878,286.84058
29,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1879,287.0716
30,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1880,286.95456
31,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1881,286.8456
32,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1882,286.8697
33,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1883,286.83102
34,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1884,286.35233
35,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1885,286.4144
36,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1886,286.71848
37,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1887,286.53955
38,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1888,286.71893
39,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1889,286.78043
40,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1890,286.70743
41,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1891,286.70874
42,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1892,286.8653
43,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1893,286.7669
44,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1894,286.94418
45,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1895,286.9714
46,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1896,286.97598
47,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1897,286.93976
48,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1898,286.93057
49,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1899,287.07175
50,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1900,286.98126
51,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1901,286.8773
52,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1902,286.94046
53,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1903,286.5805
54,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1904,286.79324
55,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1905,287.00082
56,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1906,286.92557
57,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1907,287.1003
58,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1908,287.1719
59,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1909,287.18704
60,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1910,287.079
61,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1911,286.98447
62,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1912,286.85684
63,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1913,286.80545
64,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1914,286.98367
65,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1915,286.835
66,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1916,287.08176
67,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1917,287.2046
68,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1918,286.98822
69,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1919,286.99234
70,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1920,287.06345
71,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1921,287.07675
72,tas,historical,K,mon,r6i1p1f1,INM-CM5-0,1922,287.12372
