,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2015,287.32678
1,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2016,287.3178
2,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2017,287.62427
3,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2018,287.45914
4,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2019,287.73547
5,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2020,287.7208
6,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2021,287.93365
7,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2022,287.7403
8,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2023,287.72647
9,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2024,287.68552
10,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2025,288.00992
11,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2026,288.1244
12,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2027,288.04697
13,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2028,288.0643
14,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2029,288.00027
15,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2030,287.88193
16,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2031,288.078
17,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2032,287.9719
18,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2033,288.44193
19,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2034,288.06577
20,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2035,288.04758
21,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2036,288.12375
22,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2037,288.15402
23,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2038,288.34357
24,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2039,288.31638
25,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2040,288.517
26,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2041,288.78363
27,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2042,288.42148
28,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2043,288.29694
29,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2044,288.25186
30,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2045,288.54483
31,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2046,288.89438
32,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2047,288.49014
33,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2048,288.50876
34,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2049,288.4836
35,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2050,288.07843
36,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2051,288.2657
37,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2052,288.52026
38,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2053,288.364
39,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2054,288.3445
40,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2055,288.2587
41,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2056,288.45584
42,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2057,288.87955
43,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2058,288.55228
44,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2059,288.7974
45,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2060,288.78555
46,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2061,288.33514
47,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2062,288.28842
48,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2063,288.59247
49,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2064,288.6123
50,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2065,288.5278
51,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2066,288.5789
52,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2067,288.67184
53,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2068,288.4828
54,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2069,288.6807
55,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2070,288.8131
56,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2071,288.28397
57,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2072,288.57715
58,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2073,288.304
59,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2074,288.5033
60,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2075,288.70233
61,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2076,288.3792
62,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2077,288.31735
63,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2078,288.66586
64,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2079,288.60828
65,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2080,288.18533
66,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2081,288.6975
67,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2082,288.60095
68,tas,ssp126,K,mon,r6i1p1f1,IPSL-CM6A-LR,2083,288.24295
